<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	0.72255	0.73356	0.72216	0.73230	128804	157854394000	9
2015.12.02	0.73200	0.73429	0.72926	0.73089	126273	148363073000	0
2015.12.03	0.73075	0.73625	0.72837	0.73399	144709	168380824000	0
2015.12.04	0.73421	0.73849	0.72791	0.73363	132604	155314655000	9
2015.12.07	0.73384	0.73421	0.72562	0.72671	112044	142779924000	9
2015.12.08	0.72650	0.72700	0.71862	0.72156	118229	153752378000	0
2015.12.09	0.72114	0.72448	0.71717	0.72296	123141	140714745000	0
2015.12.10	0.72276	0.73340	0.72212	0.72803	116430	121031563000	9
2015.12.11	0.72801	0.72814	0.71836	0.71836	95633	94401490000	0
2015.12.14	0.72009	0.72694	0.71593	0.72410	98703	96847352000	0
2015.12.15	0.72432	0.72828	0.71601	0.71904	99529	97813499000	9
2015.12.16	0.71913	0.72797	0.71762	0.72312	117600	121698470000	9
2015.12.17	0.72292	0.72488	0.70966	0.71273	106302	106737244000	9
2015.12.18	0.71248	0.71999	0.71115	0.71679	96955	102611977000	0
2015.12.21	0.71690	0.71951	0.71548	0.71892	73578	77160850000	9
2015.12.22	0.71863	0.72487	0.71812	0.72340	82710	79834709000	0
2015.12.23	0.72333	0.72473	0.72086	0.72354	79034	72370577000	9
2015.12.24	0.72292	0.72801	0.72262	0.72671	46255	43012718000	7
2015.12.28	0.72741	0.72820	0.72471	0.72480	48631	46013675000	9
2015.12.29	0.72463	0.73026	0.72447	0.72941	60657	58739657000	9
2015.12.30	0.72939	0.73031	0.72709	0.72847	74625	78543010000	0
2015.12.31	0.72832	0.73273	0.72662	0.72896	55664	56327352000	0
2016.01.04	0.72816	0.73006	0.71555	0.71901	103450	108256271000	0
2016.01.05	0.71905	0.72141	0.71319	0.71600	108868	116678639000	0
2016.01.06	0.71585	0.71712	0.70481	0.70705	125704	126255215000	9
2016.01.07	0.70696	0.70857	0.69802	0.70096	129170	118470401000	0
2016.01.08	0.70090	0.70761	0.69502	0.69502	132561	126527096000	9
2016.01.11	0.69691	0.70354	0.69267	0.69928	120220	123272689000	9
2016.01.12	0.69928	0.70206	0.69396	0.69840	128057	136434947000	9
2016.01.13	0.69812	0.70483	0.69492	0.69542	121843	127314825000	7
2016.01.14	0.69544	0.69964	0.69095	0.69839	140337	149579126000	0
2016.01.15	0.69780	0.70018	0.68266	0.68583	129835	136233241000	7
2016.01.18	0.68361	0.69275	0.68315	0.68634	123352	131011189000	0
2016.01.19	0.68630	0.69568	0.68380	0.69050	141213	140778156000	9
2016.01.20	0.69054	0.69238	0.68277	0.69061	158250	168926746000	9
2016.01.21	0.69066	0.70170	0.68751	0.69969	159704	173605338000	9
2016.01.22	0.69964	0.70455	0.69858	0.70020	132239	159399348000	9
2016.01.25	0.70014	0.70311	0.69487	0.69535	130722	157761340000	0
2016.01.26	0.69528	0.70208	0.69183	0.70029	133127	148295097000	0
2016.01.27	0.70031	0.70811	0.69918	0.70249	175781	212283628000	9
2016.01.28	0.70243	0.71282	0.70076	0.70819	154583	178572062000	9
2016.01.29	0.70819	0.71407	0.70582	0.70825	162456	172510884000	9
2016.02.01	0.70796	0.71208	0.70420	0.71122	134904	161363127000	9
2016.02.02	0.71103	0.71288	0.70341	0.70366	130995	146794601000	9
2016.02.03	0.70369	0.71886	0.70023	0.71666	147666	167128197000	9
2016.02.04	0.71636	0.72423	0.71530	0.71988	134806	149222298000	9
2016.02.05	0.71988	0.72195	0.70633	0.70634	114095	127140662000	0
2016.02.08	0.70672	0.71281	0.70501	0.70847	126090	144620590000	9
2016.02.09	0.70851	0.70955	0.69731	0.70700	131900	142372154000	0
2016.02.10	0.70697	0.71248	0.70372	0.70936	141871	156526868000	0
2016.02.11	0.70935	0.71529	0.69834	0.71073	156197	149300252000	0
2016.02.12	0.71076	0.71277	0.70633	0.70976	118134	116188967000	0
2016.02.15	0.71004	0.71711	0.70994	0.71342	104532	110113781000	9
2016.02.16	0.71346	0.71813	0.70811	0.71093	110096	122169107000	0
2016.02.17	0.71081	0.71865	0.70839	0.71837	114732	108630212000	9
2016.02.18	0.71807	0.71837	0.71326	0.71560	111865	109888882000	9
2016.02.19	0.71559	0.71614	0.70687	0.71473	98650	96296621000	0
2016.02.22	0.71556	0.72466	0.71357	0.72268	104276	111993142000	0
2016.02.23	0.72258	0.72587	0.72000	0.72016	116653	123214327000	9
2016.02.24	0.72006	0.72130	0.71455	0.71941	122035	164818860000	0
2016.02.25	0.71939	0.72429	0.71561	0.72348	124031	139686635000	0
2016.02.26	0.72319	0.72563	0.71177	0.71220	120183	131532316000	0
2016.02.29	0.71211	0.71675	0.71084	0.71388	125994	137008617000	0
2016.03.01	0.71385	0.71916	0.71088	0.71725	126174	141363013000	0
2016.03.02	0.71718	0.73005	0.71643	0.72954	148863	192523681000	0
2016.03.03	0.72924	0.73734	0.72810	0.73506	142943	160996014000	9
2016.03.04	0.73497	0.74426	0.73395	0.74360	138611	151359011000	0
2016.03.07	0.74021	0.74841	0.73921	0.74662	118405	138059505000	0
2016.03.08	0.74661	0.74719	0.74097	0.74373	116429	127358207000	0
2016.03.09	0.74337	0.75275	0.74118	0.74841	129000	145432059000	0
2016.03.10	0.74837	0.75115	0.74265	0.74532	148834	145240585000	9
