<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.06	0.73384	0.73421	0.71717	0.71836	565477	652680100000	0
2015.12.13	0.72009	0.72828	0.70966	0.71679	519089	525708542000	0
2015.12.20	0.71690	0.72801	0.71548	0.72671	281577	272378854000	0
2015.12.27	0.72741	0.73273	0.72447	0.72896	239577	239623694000	0
2016.01.03	0.72816	0.73006	0.69502	0.69502	599753	596187622000	0
2016.01.10	0.69691	0.70483	0.68266	0.68583	640292	672834828000	0
2016.01.17	0.68361	0.70455	0.68277	0.70020	714758	773720777000	0
2016.01.24	0.70014	0.71407	0.69183	0.70825	756669	869423011000	0
2016.01.31	0.70796	0.72423	0.70023	0.70634	662466	751648885000	0
2016.02.07	0.70672	0.71529	0.69731	0.70976	674192	709008831000	0
2016.02.14	0.71004	0.71865	0.70687	0.71473	539875	547098603000	0
2016.02.21	0.71556	0.72587	0.71177	0.71220	587178	671245280000	0
2016.02.28	0.71211	0.74426	0.71084	0.74360	682585	783250336000	0
2016.03.06	0.74021	0.75830	0.73921	0.75596	633943	679587302000	0
2016.03.13	0.75478	0.76797	0.74143	0.75977	596815	639114948000	0
2016.03.20	0.75944	0.76483	0.74768	0.75045	479731	473281536000	0
2016.03.27	0.75094	0.77224	0.74928	0.76759	590975	833620164000	0
2016.04.03	0.76695	0.76778	0.74914	0.75398	615137	740029728000	0
2016.04.10	0.75400	0.77366	0.75277	0.77204	605389	763934746000	0
2016.04.17	0.76477	0.78342	0.76309	0.77073	598048	634680714000	0
2016.04.24	0.76920	0.77649	0.75480	0.76055	538486	547777968000	0
2016.05.01	0.75946	0.77194	0.73371	0.73638	600277	688065862000	0
2016.05.08	0.73530	0.74016	0.72535	0.72697	516688	643642078000	0
2016.05.15	0.72466	0.73659	0.71761	0.72208	503069	614230129000	0
2016.05.22	0.72181	0.72595	0.71447	0.71835	450801	551864877000	0
2016.05.29	0.71761	0.73679	0.71483	0.73651	516560	703529940000	0
2016.06.05	0.73665	0.75039	0.73148	0.73744	543513	779770437000	0
2016.06.12	0.73745	0.74455	0.72849	0.73721	598728	809162457000	0
2016.06.19	0.73881	0.76438	0.73040	0.74647	583124	755857784000	0
2016.06.26	0.74183	0.75026	0.73242	0.74969	652481	793476306000	0
2016.07.03	0.74441	0.75730	0.74075	0.75599	591552	749063047000	0
2016.07.10	0.75617	0.76758	0.75213	0.75630	598001	789337264000	0
2016.07.17	0.75882	0.76061	0.74422	0.74623	548227	875622568000	0
2016.07.24	0.74591	0.76100	0.74202	0.75981	543330	695306186000	0
2016.07.31	0.75905	0.76637	0.74853	0.76157	505797	511091157000	0
2016.08.07	0.76126	0.77553	0.75969	0.76484	478676	577162193000	0
2016.08.14	0.76537	0.77488	0.75987	0.76256	540669	612097917000	0
