<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.26	22.23	31.00	8.90	10.11	1099	279959	0
2024.03.27	10.70	17.50	10.12	17.50	2413	693131	0
2024.03.28	22.50	25.99	18.12	25.47	2441	767061	0
2024.04.01	28.36	28.70	20.89	24.48	2324	574033	0
2024.04.02	23.53	24.54	21.14	21.14	617	135142	0
2024.04.03	22.59	28.71	22.59	26.84	2565	576763	0
2024.04.04	28.79	40.00	27.13	33.69	6757	1878532	0
2024.04.05	42.80	75.80	40.02	59.20	12714	3372789	0
2024.04.08	64.99	105.00	64.30	99.50	17061	4608887	0
2024.04.09	97.00	98.06	55.47	63.99	17827	5433627	0
2024.04.10	50.42	60.01	46.61	56.07	9702	3074501	0
2024.04.11	61.20	61.75	49.53	50.10	5337	1614595	0
2024.04.12	47.70	47.97	28.75	29.27	7744	2402815	0
2024.04.15	34.50	44.48	31.72	36.93	11632	2742607	0
2024.04.16	41.38	45.35	38.21	43.50	5790	1690070	0
2024.04.17	31.98	36.48	29.05	29.55	3295	870991	0
2024.04.18	31.46	33.53	30.01	31.83	1958	514589	0
2024.04.19	30.51	30.58	25.30	27.76	2152	491698	0
2024.04.22	25.01	28.43	24.00	24.68	1287	353683	0
2024.04.23	25.85	31.00	25.84	28.32	2287	629912	0
2024.04.24	31.15	31.72	26.27	26.49	1247	399613	0
2024.04.25	24.50	26.62	23.50	24.59	1753	525476	0
2024.04.26	23.50	23.51	16.66	18.80	7529	2064754	0
2024.04.29	18.14	19.88	16.80	17.11	3105	928746	0
2024.04.30	17.69	19.29	16.71	17.42	2313	665112	0
2024.05.01	17.50	17.50	14.30	14.85	2539	638511	0
2024.05.02	14.88	15.49	12.85	13.20	2620	790085	0
2024.05.03	13.41	16.39	12.66	12.99	4088	1373059	0
2024.05.06	13.60	14.36	13.00	13.50	1978	581735	0
2024.05.07	13.96	16.85	13.76	13.77	5551	1780767	0
2024.05.08	14.40	15.39	14.02	14.41	1713	527733	0
2024.05.09	14.95	15.20	13.50	13.87	1409	411332	0
2024.05.10	14.10	14.71	14.10	14.42	1180	353251	0
2024.05.13	15.15	17.80	15.10	16.04	4877	1451686	0
2024.05.14	17.40	18.17	16.70	16.88	2313	668941	0
2024.05.15	17.37	17.51	16.07	16.65	1173	241639	0
2024.05.16	17.07	17.15	14.77	15.36	1595	419763	0
2024.05.17	14.99	15.24	14.40	14.80	946	212732	0
2024.05.20	15.03	15.60	14.80	15.19	828	252605	0
2024.05.21	15.05	15.30	14.50	15.08	965	260950	0
2024.05.22	15.00	15.09	13.68	13.77	981	270432	0
2024.05.23	14.39	14.45	13.33	13.97	829	191853	0
2024.05.24	14.21	15.75	14.20	15.00	2381	669604	0
2024.05.28	14.97	15.95	14.60	15.25	1378	338752	0
2024.05.29	15.00	15.51	14.95	15.51	441	99205	0
2024.05.30	15.45	15.95	15.09	15.50	586	157608	0
2024.05.31	15.40	15.69	14.42	14.79	853	181729	0
2024.06.03	15.11	15.33	13.00	13.70	1093	317676	0
2024.06.04	13.84	14.30	13.47	13.80	596	156059	0
2024.06.05	13.85	14.20	13.75	14.06	405	106951	0
2024.06.06	14.00	14.00	13.16	13.36	854	170455	0
2024.06.07	13.38	13.45	12.42	12.88	714	172610	0
2024.06.10	12.80	13.47	12.53	13.12	700	194285	0
2024.06.11	12.93	13.05	12.55	12.70	329	84825	0
2024.06.12	12.81	14.10	12.70	13.31	1219	338933	0
2024.06.13	13.62	13.63	13.05	13.10	279	60202	0
2024.06.14	13.15	13.21	12.85	12.97	316	66113	0
2024.06.17	12.85	13.25	12.70	12.82	412	77667	0
2024.06.18	12.80	13.33	12.80	13.07	287	65328	0
2024.06.20	13.07	13.20	12.41	12.58	406	88220	0
2024.06.21	12.52	12.72	12.45	12.64	185	42079	0
2024.06.24	12.45	12.60	11.40	11.57	676	178764	0
2024.06.25	11.37	11.55	11.24	11.48	346	85963	0
2024.06.26	11.40	11.46	10.71	10.80	561	124141	0
2024.06.27	11.55	15.10	11.21	14.45	6568	1847324	0
2024.06.28	16.30	18.29	14.90	15.17	6725	1823461	0
2024.07.01	15.30	16.15	13.00	13.54	1926	520715	0
2024.07.02	13.51	14.79	13.40	13.95	1153	279846	0
2024.07.03	14.06	14.21	13.20	13.45	561	146532	0
2024.07.05	13.81	15.55	13.70	14.50	1944	568681	0
2024.07.08	15.12	15.98	14.91	15.17	1336	325823	0
2024.07.09	15.92	15.92	14.41	14.84	823	184760	0
2024.07.10	14.90	14.97	14.07	14.20	491	114428	0
2024.07.11	14.44	15.23	13.40	13.66	1191	290066	0
2024.07.12	13.70	14.98	13.69	14.51	738	171834	0
2024.07.15	15.01	15.70	14.09	14.24	1105	265268	0
2024.07.16	14.56	14.91	14.23	14.72	496	130846	0
2024.07.17	14.46	14.72	13.98	14.24	445	116788	0
2024.07.18	14.25	14.50	13.61	13.89	523	121450	0
2024.07.19	13.79	13.84	13.26	13.61	370	106280	0
2024.07.22	13.56	13.84	13.36	13.84	361	91358	0
2024.07.23	13.67	13.82	13.32	13.45	330	86756	0
2024.07.24	13.25	13.42	12.31	13.12	913	221976	0
2024.07.25	12.51	12.95	11.70	12.22	1154	240795	0
2024.07.26	12.69	12.98	12.51	12.96	504	175120	0
2024.07.29	13.08	13.51	12.33	12.35	641	121222	0
2024.07.30	12.54	12.55	11.91	12.05	395	80827	0
2024.07.31	12.35	12.64	12.20	12.20	237	60279	0
2024.08.01	12.20	12.20	11.03	11.07	1200	255644	0
2024.08.02	10.93	11.26	10.55	10.84	367	119103	0
2024.08.05	9.31	10.17	9.00	9.80	1061	277702	0
