<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.26	16:00:00	22.23	31.00	10.01	10.03	726	163000	0
2024.03.26	20:00:00	10.20	12.24	8.90	10.11	373	116959	0
2024.03.27	16:00:00	10.70	14.75	10.12	14.28	1226	331957	0
2024.03.27	20:00:00	14.05	17.50	14.01	17.50	1187	361174	0
2024.03.28	16:00:00	22.50	23.00	18.12	21.55	1487	437897	0
2024.03.28	20:00:00	21.99	25.99	21.59	25.47	954	329164	0
2024.04.01	16:00:00	28.36	28.70	20.89	26.71	1665	408812	0
2024.04.01	20:00:00	26.68	27.75	24.24	24.48	659	165221	0
2024.04.02	16:00:00	23.53	24.54	22.01	23.59	381	80156	0
2024.04.02	20:00:00	23.59	23.73	21.14	21.14	236	54986	0
2024.04.03	16:00:00	22.59	28.71	22.59	26.92	1827	441769	0
2024.04.03	20:00:00	26.93	27.50	26.25	26.84	738	134994	0
2024.04.04	16:00:00	28.79	40.00	27.13	35.97	4822	1352518	0
2024.04.04	20:00:00	35.96	37.74	30.00	33.69	1935	526014	0
2024.04.05	16:00:00	42.80	75.80	40.02	54.70	7538	1940469	0
2024.04.05	20:00:00	54.70	63.73	46.59	59.20	5176	1432320	0
2024.04.08	16:00:00	64.99	99.39	64.30	83.09	11152	3096503	0
2024.04.08	20:00:00	83.42	105.00	75.62	99.50	5909	1512384	0
2024.04.09	16:00:00	97.00	98.06	55.47	69.75	10695	3373274	0
2024.04.09	20:00:00	69.99	83.00	60.00	63.99	7132	2060353	0
2024.04.10	16:00:00	50.42	60.01	46.61	56.76	7008	2203175	0
2024.04.10	20:00:00	56.95	59.27	50.02	56.07	2694	871326	0
2024.04.11	16:00:00	61.20	61.75	49.53	54.12	3879	1165348	0
2024.04.11	20:00:00	54.00	55.44	50.10	50.10	1458	449247	0
2024.04.12	16:00:00	47.70	47.97	37.29	37.94	3891	1294512	0
2024.04.12	20:00:00	37.63	38.60	28.75	29.27	3853	1108303	0
2024.04.15	16:00:00	34.50	44.48	31.72	41.73	9373	2283492	0
2024.04.15	20:00:00	41.37	41.52	33.62	36.93	2259	459115	0
2024.04.16	16:00:00	41.38	45.35	38.21	40.93	4462	1372422	0
2024.04.16	20:00:00	40.94	43.50	38.57	43.50	1328	317648	0
2024.04.17	16:00:00	31.98	36.48	31.80	32.89	2121	599812	0
2024.04.17	20:00:00	32.40	33.30	29.05	29.55	1174	271179	0
2024.04.18	16:00:00	31.46	33.53	30.01	31.83	1502	411328	0
2024.04.18	20:00:00	31.75	32.30	31.00	31.83	456	103261	0
2024.04.19	16:00:00	30.51	30.58	27.07	28.00	1316	295711	0
2024.04.19	20:00:00	27.84	28.60	25.30	27.76	836	195987	0
2024.04.22	16:00:00	25.01	28.43	24.00	25.31	980	288276	0
2024.04.22	20:00:00	25.30	26.00	24.68	24.68	307	65407	0
2024.04.23	16:00:00	25.85	31.00	25.84	29.13	1770	518378	0
2024.04.23	20:00:00	28.99	29.60	27.32	28.32	517	111534	0
2024.04.24	16:00:00	31.15	31.72	27.05	27.94	1001	350711	0
2024.04.24	20:00:00	27.99	28.31	26.27	26.49	246	48902	0
2024.04.25	16:00:00	24.50	26.54	23.50	25.84	1002	313882	0
2024.04.25	20:00:00	25.85	26.62	24.29	24.59	751	211594	0
2024.04.26	16:00:00	23.50	23.51	16.66	19.27	6117	1715505	0
2024.04.26	20:00:00	19.09	19.59	17.50	18.80	1412	349249	0
2024.04.29	16:00:00	18.14	19.88	17.50	17.59	1676	516562	0
2024.04.29	20:00:00	17.50	18.38	16.80	17.11	1429	412184	0
2024.04.30	16:00:00	17.69	19.29	16.99	17.28	1586	530099	0
2024.04.30	20:00:00	17.36	17.47	16.71	17.42	727	135013	0
2024.05.01	16:00:00	17.50	17.50	14.69	15.33	1683	364050	0
2024.05.01	20:00:00	15.31	15.39	14.30	14.85	856	274461	0
2024.05.02	16:00:00	14.88	15.49	13.40	14.46	1630	504144	0
2024.05.02	20:00:00	14.21	14.55	12.85	13.20	990	285941	0
2024.05.03	16:00:00	13.41	16.39	12.66	12.93	3591	1213459	0
2024.05.03	20:00:00	13.05	13.19	12.85	12.99	497	159600	0
2024.05.06	16:00:00	13.60	14.36	13.00	13.52	1568	470158	0
2024.05.06	20:00:00	13.55	13.62	13.35	13.50	410	111577	0
2024.05.07	16:00:00	13.96	15.95	13.80	15.70	2217	700534	0
2024.05.07	20:00:00	15.70	16.85	13.76	13.77	3334	1080233	0
2024.05.08	16:00:00	14.40	15.39	14.02	14.28	1400	431877	0
2024.05.08	20:00:00	14.24	14.50	14.12	14.41	313	95856	0
