<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.01	22.23	31.00	8.90	25.47	5953	1740151	0
2024.04.01	28.36	105.00	16.66	17.42	126996	35548935	0
2024.05.01	17.50	18.17	12.66	14.79	41224	11873972	0
2024.06.01	15.11	18.29	10.71	15.17	22671	6001056	0
2024.07.01	15.30	16.15	11.70	12.20	17637	4421650	0
2024.08.01	12.20	14.15	9.00	12.98	12120	3031866	0
2024.09.01	12.60	12.86	9.86	9.94	7665	1815650	0
2024.10.01	9.98	13.50	9.63	10.83	16317	4429803	0
2024.11.01	11.27	50.00	10.90	40.85	219449	57865370	0
2024.12.01	42.60	77.35	39.20	58.70	115857	25841611	0
2025.01.01	59.52	67.70	48.48	54.70	47200	9669412	0
2025.02.01	50.58	56.45	34.88	40.55	32393	6808033	0
2025.03.01	41.85	45.35	25.19	35.25	20519	4132032	0
2025.04.01	36.53	40.97	25.21	37.00	31038	6043757	0
2025.05.01	37.73	50.50	35.00	42.36	21704	4658744	0
2025.06.01	42.46	44.50	34.58	38.09	17470	3716161	1
2025.07.01	35.99	40.48	29.62	29.70	22523	4818014	1
2025.08.01	29.26	30.25	26.35	27.33	12580	3114447	1
2025.09.01	26.50	27.95	21.02	21.29	17911	4451554	1
2025.10.01	21.33	32.93	21.33	28.43	31672	8383901	1
2025.11.01	28.39	28.50	19.71	22.44	12500	3047630	1
2025.12.01	22.51	40.98	22.18	30.50	86823	22275398	1
2026.01.01	30.59	31.24	30.01	30.87	2086	713098	1
