<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.24	22.23	31.00	8.90	25.47	5953	1740151	0
2024.03.31	28.36	75.80	20.89	59.20	24977	6537259	0
2024.04.07	64.99	105.00	28.75	29.27	57671	17134425	0
2024.04.14	34.50	45.35	25.30	27.76	24827	6309955	0
2024.04.21	25.01	31.72	16.66	18.80	14103	3973438	0
2024.04.28	18.14	19.88	12.66	12.99	14665	4395513	0
2024.05.05	13.60	16.85	13.00	14.42	11831	3654818	0
2024.05.12	15.15	18.17	14.40	14.80	10904	2994761	0
2024.05.19	15.03	15.75	13.33	15.00	5984	1645444	0
2024.05.26	14.97	15.95	14.42	14.79	3258	777294	0
2024.06.02	15.11	15.33	12.42	12.88	3662	923751	0
2024.06.09	12.80	14.10	12.53	12.97	2843	744358	0
2024.06.16	12.85	13.33	12.41	12.64	1290	273294	0
2024.06.23	12.45	18.29	10.71	15.17	14876	4059653	0
2024.06.30	15.30	16.15	13.00	14.50	5584	1515774	0
2024.07.07	15.12	15.98	13.40	14.51	4579	1086911	0
2024.07.14	15.01	15.70	13.26	13.61	2939	740632	0
2024.07.21	13.56	13.84	11.70	12.96	3262	816005	0
2024.07.28	13.08	13.51	10.55	10.84	2840	637075	0
2024.08.04	9.31	10.67	9.00	10.26	2533	641598	0
2024.08.11	10.27	11.95	9.90	11.38	1850	441082	0
2024.08.18	11.76	14.15	11.75	12.48	3979	1060339	0
2024.08.25	12.82	13.40	11.86	12.98	2191	514100	0
2024.09.01	12.60	12.86	10.12	10.22	1930	434713	0
2024.09.08	10.68	11.97	10.52	11.82	1238	316046	0
2024.09.15	11.87	12.27	11.10	11.13	1483	326837	0
2024.09.22	11.20	11.34	10.06	10.15	2438	594580	0
2024.09.29	10.14	10.88	9.63	10.07	2626	714765	0
2024.10.06	10.01	10.23	9.76	9.98	1346	358584	0
2024.10.13	11.46	13.50	10.80	11.74	9511	2599266	0
2024.10.20	11.78	12.33	11.11	11.96	2402	615819	0
2024.10.27	11.70	11.85	10.66	11.17	1295	360427	0
2024.11.03	11.19	42.77	10.90	36.65	78072	22109831	0
2024.11.10	47.41	50.00	26.59	32.26	84996	22059476	0
2024.11.17	36.17	46.20	34.00	41.97	39821	10105220	0
2024.11.24	47.48	47.60	38.80	40.85	16273	3515259	0
2024.12.01	42.60	67.10	39.20	67.10	30797	7161919	0
2024.12.08	70.46	77.35	51.10	70.20	50132	11278753	0
2024.12.15	71.18	75.00	55.08	60.13	20749	4342976	0
2024.12.22	62.84	70.46	61.00	65.24	9297	2067005	0
2024.12.29	61.22	65.50	55.19	61.69	9413	2012281	0
2025.01.05	65.77	67.00	52.00	56.04	7654	1671066	0
2025.01.12	52.03	57.99	48.48	56.33	10870	2255917	0
2025.01.19	61.18	67.70	58.23	63.05	12588	2523618	0
2025.01.26	60.00	62.37	53.39	54.70	11557	2197488	0
2025.02.02	50.58	56.45	49.00	50.77	8340	1622958	0
2025.02.09	51.10	53.50	45.80	50.39	7687	1672401	0
2025.02.16	51.60	55.38	47.51	48.27	6239	1387250	0
2025.02.23	48.60	49.13	34.88	40.55	10127	2125424	0
2025.03.02	41.85	42.49	29.90	32.01	6202	1345565	0
2025.03.09	29.68	33.59	25.19	33.01	4474	870341	0
2025.03.16	38.31	41.49	36.52	40.00	5107	1012750	0
2025.03.23	43.20	45.35	35.15	36.25	3940	753487	0
2025.03.30	33.68	40.97	32.02	32.19	6467	1222646	0
2025.04.06	30.17	32.55	25.21	31.11	11971	2254137	0
2025.04.13	33.43	34.88	29.24	30.41	3705	738546	0
2025.04.20	29.13	39.38	28.18	38.94	6433	1335326	0
2025.04.27	39.04	40.89	34.50	38.20	4826	997766	0
2025.05.04	37.80	39.90	35.00	37.86	3822	830335	0
