<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.01	1.08173	1.08749	1.07799	1.08709	261954	0	0
2024.02.02	1.08710	1.08976	1.07803	1.07858	213182	0	0
2024.02.05	1.07818	1.07863	1.07231	1.07421	199757	0	0
2024.02.06	1.07408	1.07625	1.07225	1.07539	141204	0	0
2024.02.07	1.07536	1.07841	1.07468	1.07711	119518	0	0
2024.02.08	1.07711	1.07889	1.07414	1.07769	114675	0	0
2024.02.09	1.07771	1.07953	1.07622	1.07844	109641	0	0
2024.02.12	1.07785	1.08058	1.07557	1.07695	123716	0	0
2024.02.13	1.07712	1.07977	1.07002	1.07084	146193	0	0
2024.02.14	1.07083	1.07347	1.06945	1.07257	124709	0	0
2024.02.15	1.07241	1.07850	1.07229	1.07714	126671	0	0
2024.02.16	1.07705	1.07874	1.07319	1.07769	124752	0	0
2024.02.19	1.07722	1.07894	1.07618	1.07782	84124	0	0
2024.02.20	1.07785	1.08389	1.07613	1.08068	131771	0	0
2024.02.21	1.08064	1.08245	1.07897	1.08180	126403	0	0
2024.02.22	1.08181	1.08884	1.08027	1.08220	143407	0	0
2024.02.23	1.08222	1.08396	1.08116	1.08184	114073	0	0
2024.02.26	1.08309	1.08597	1.08125	1.08484	119123	0	0
2024.02.27	1.08502	1.08661	1.08328	1.08431	117059	0	0
2024.02.28	1.08432	1.08468	1.07963	1.08369	129079	0	0
2024.02.29	1.08372	1.08560	1.07957	1.08038	151207	0	0
2024.03.01	1.08045	1.08433	1.07963	1.08387	127274	0	0
2024.03.04	1.08400	1.08670	1.08290	1.08530	122146	0	0
2024.03.05	1.08548	1.08765	1.08401	1.08545	126194	0	0
2024.03.06	1.08560	1.09154	1.08417	1.08973	142457	0	0
2024.03.07	1.08975	1.09493	1.08676	1.09465	137628	0	0
2024.03.08	1.09472	1.09813	1.09183	1.09370	142376	0	0
2024.03.11	1.09388	1.09483	1.09144	1.09249	109373	0	0
2024.03.12	1.09249	1.09436	1.09022	1.09261	65017	0	0
2024.03.13	1.09261	1.09637	1.09201	1.09473	37052	0	0
2024.03.14	1.09475	1.09547	1.08792	1.08845	41942	0	0
2024.03.15	1.08845	1.08996	1.08729	1.08872	34272	0	0
2024.03.18	1.08881	1.09060	1.08661	1.08728	30867	0	0
2024.03.19	1.08708	1.08765	1.08347	1.08645	39537	0	0
2024.03.20	1.08642	1.09227	1.08364	1.09205	40642	0	0
2024.03.21	1.09196	1.09426	1.08528	1.08596	45886	0	0
2024.03.22	1.08596	1.08679	1.08017	1.08062	36766	0	0
2024.03.25	1.08062	1.08423	1.08022	1.08355	29143	0	0
2024.03.26	1.08355	1.08643	1.08243	1.08312	35376	0	0
2024.03.27	1.08312	1.08391	1.08107	1.08262	36081	0	0
2024.03.28	1.08261	1.08265	1.07750	1.07881	40574	0	0
2024.03.29	1.07872	1.08052	1.07678	1.07917	21957	0	0
2024.04.01	1.07870	1.07987	1.07309	1.07422	30356	0	0
2024.04.02	1.07423	1.07790	1.07246	1.07687	37828	0	0
2024.04.03	1.07685	1.08369	1.07640	1.08355	39180	0	0
2024.04.04	1.08352	1.08764	1.08292	1.08362	33917	0	0
2024.04.05	1.08361	1.08479	1.07912	1.08363	43220	0	0
2024.04.08	1.08370	1.08622	1.08209	1.08585	35521	0	0
2024.04.09	1.08582	1.08850	1.08471	1.08563	31556	0	0
2024.04.10	1.08558	1.08664	1.07287	1.07416	48832	0	0
2024.04.11	1.07415	1.07563	1.06992	1.07252	50094	0	0
2024.04.12	1.07251	1.07289	1.06225	1.06406	46114	0	0
2024.04.15	1.06360	1.06651	1.06203	1.06237	52069	0	0
2024.04.16	1.06234	1.06536	1.06011	1.06181	56286	0	0
2024.04.17	1.06180	1.06796	1.06061	1.06720	51050	0	0
2024.04.18	1.06702	1.06900	1.06408	1.06425	48750	0	0
2024.04.19	1.06424	1.06775	1.06104	1.06557	66176	0	0
2024.04.22	1.06526	1.06706	1.06240	1.06539	32700	0	0
2024.04.23	1.06521	1.07112	1.06385	1.07006	33404	0	0
2024.04.24	1.07006	1.07141	1.06779	1.06980	29785	0	0
2024.04.25	1.06982	1.07402	1.06784	1.07290	34908	0	0
2024.04.26	1.07283	1.07527	1.06740	1.06922	33357	0	0
2024.04.29	1.06940	1.07337	1.06865	1.07200	38304	0	0
2024.04.30	1.07197	1.07353	1.06630	1.06655	36356	0	0
2024.05.01	1.06650	1.07327	1.06494	1.07089	34352	0	0
2024.05.02	1.07096	1.07302	1.06742	1.07245	38832	0	0
2024.05.03	1.07220	1.08120	1.07192	1.07611	36956	0	0
2024.05.06	1.07630	1.07908	1.07552	1.07676	26333	0	0
2024.05.07	1.07678	1.07874	1.07479	1.07538	30765	0	0
2024.05.08	1.07534	1.07574	1.07350	1.07476	26124	0	0
2024.05.09	1.07476	1.07843	1.07239	1.07816	29304	0	0
2024.05.10	1.07812	1.07901	1.07603	1.07694	29446	0	0
2024.05.13	1.07686	1.08068	1.07648	1.07893	25002	0	0
2024.05.14	1.07882	1.08256	1.07664	1.08182	27034	0	0
2024.05.15	1.08172	1.08857	1.08131	1.08837	32000	0	0
2024.05.16	1.08837	1.08949	1.08544	1.08663	31296	0	0
2024.05.17	1.08662	1.08783	1.08358	1.08685	26821	0	0
2024.05.20	1.08670	1.08845	1.08535	1.08561	26875	0	0
2024.05.21	1.08557	1.08748	1.08429	1.08532	30456	0	0
2024.05.22	1.08518	1.08634	1.08174	1.08221	31390	0	0
2024.05.23	1.08214	1.08610	1.08047	1.08144	35204	0	0
2024.05.24	1.08141	1.08578	1.08054	1.08457	30316	0	0
2024.05.27	1.08480	1.08674	1.08409	1.08581	18390	0	0
2024.05.28	1.08564	1.08890	1.08506	1.08559	33911	0	0
