<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.01	00:00:00	1.08173	1.08203	1.08015	1.08089	15045	0	0
2024.02.01	04:00:00	1.08088	1.08220	1.08023	1.08027	17231	0	0
2024.02.01	08:00:00	1.08028	1.08053	1.07799	1.07987	39505	0	0
2024.02.01	12:00:00	1.07988	1.08275	1.07915	1.08140	50200	0	0
2024.02.01	16:00:00	1.08138	1.08748	1.08059	1.08728	99412	0	0
2024.02.01	20:00:00	1.08727	1.08749	1.08626	1.08709	40561	0	1
2024.02.02	00:00:00	1.08710	1.08799	1.08626	1.08714	11393	0	2
2024.02.02	04:00:00	1.08714	1.08825	1.08712	1.08774	12490	0	0
2024.02.02	08:00:00	1.08774	1.08976	1.08735	1.08909	26861	0	0
2024.02.02	12:00:00	1.08909	1.08950	1.08037	1.08074	47225	0	0
2024.02.02	16:00:00	1.08072	1.08172	1.07805	1.07835	84770	0	0
2024.02.02	20:00:00	1.07835	1.07974	1.07803	1.07858	30443	0	1
2024.02.05	00:00:00	1.07818	1.07863	1.07670	1.07783	26477	0	3
2024.02.05	04:00:00	1.07780	1.07823	1.07732	1.07819	15982	0	0
2024.02.05	08:00:00	1.07820	1.07862	1.07519	1.07538	34666	0	0
2024.02.05	12:00:00	1.07538	1.07588	1.07360	1.07375	38118	0	0
2024.02.05	16:00:00	1.07374	1.07451	1.07231	1.07389	60086	0	0
2024.02.05	20:00:00	1.07390	1.07466	1.07366	1.07421	24428	0	0
2024.02.06	00:00:00	1.07408	1.07473	1.07370	1.07453	10214	0	2
2024.02.06	04:00:00	1.07453	1.07543	1.07433	1.07533	15290	0	0
2024.02.06	08:00:00	1.07533	1.07625	1.07255	1.07292	32655	0	0
2024.02.06	12:00:00	1.07292	1.07440	1.07225	1.07304	26434	0	0
2024.02.06	16:00:00	1.07304	1.07552	1.07290	1.07510	38607	0	0
2024.02.06	20:00:00	1.07509	1.07574	1.07432	1.07539	18004	0	0
2024.02.07	00:00:00	1.07536	1.07650	1.07468	1.07633	7469	0	0
2024.02.07	04:00:00	1.07631	1.07665	1.07566	1.07626	9502	0	0
2024.02.07	08:00:00	1.07626	1.07736	1.07566	1.07693	19476	0	0
2024.02.07	12:00:00	1.07693	1.07841	1.07623	1.07701	24687	0	0
2024.02.07	16:00:00	1.07701	1.07800	1.07556	1.07648	42317	0	0
2024.02.07	20:00:00	1.07647	1.07755	1.07643	1.07711	16067	0	1
2024.02.08	00:00:00	1.07711	1.07800	1.07600	1.07785	6506	0	1
2024.02.08	04:00:00	1.07785	1.07885	1.07780	1.07826	8671	0	0
2024.02.08	08:00:00	1.07825	1.07889	1.07684	1.07830	19253	0	0
2024.02.08	12:00:00	1.07830	1.07856	1.07414	1.07439	28244	0	0
2024.02.08	16:00:00	1.07437	1.07767	1.07433	1.07734	33225	0	0
2024.02.08	20:00:00	1.07734	1.07828	1.07724	1.07769	18776	0	0
2024.02.09	00:00:00	1.07771	1.07787	1.07721	1.07742	6239	0	0
2024.02.09	04:00:00	1.07742	1.07783	1.07692	1.07710	7044	0	0
2024.02.09	08:00:00	1.07710	1.07848	1.07661	1.07671	17894	0	0
2024.02.09	12:00:00	1.07671	1.07946	1.07622	1.07830	35476	0	0
2024.02.09	16:00:00	1.07828	1.07953	1.07749	1.07855	32735	0	0
2024.02.09	20:00:00	1.07855	1.07910	1.07796	1.07844	10253	0	0
2024.02.12	00:00:00	1.07785	1.07998	1.07775	1.07956	8947	0	0
2024.02.12	04:00:00	1.07956	1.07979	1.07891	1.07916	10923	0	0
2024.02.12	08:00:00	1.07916	1.08058	1.07668	1.07691	25992	0	0
2024.02.12	12:00:00	1.07692	1.07791	1.07609	1.07638	29912	0	0
2024.02.12	16:00:00	1.07639	1.07824	1.07557	1.07824	31173	0	0
2024.02.12	20:00:00	1.07821	1.07863	1.07678	1.07695	16769	0	0
2024.02.13	00:00:00	1.07712	1.07744	1.07630	1.07667	4691	0	0
2024.02.13	04:00:00	1.07666	1.07678	1.07604	1.07666	6073	0	0
2024.02.13	08:00:00	1.07667	1.07778	1.07566	1.07668	27910	0	0
2024.02.13	12:00:00	1.07669	1.07977	1.07028	1.07086	43716	0	0
2024.02.13	16:00:00	1.07086	1.07269	1.07002	1.07152	46852	0	0
2024.02.13	20:00:00	1.07153	1.07202	1.07003	1.07084	16951	0	0
2024.02.14	00:00:00	1.07083	1.07144	1.07030	1.07115	6650	0	0
2024.02.14	04:00:00	1.07114	1.07148	1.07079	1.07138	6878	0	0
2024.02.14	08:00:00	1.07139	1.07188	1.06945	1.07003	30962	0	1
2024.02.14	12:00:00	1.07002	1.07168	1.06962	1.07087	29559	0	0
2024.02.14	16:00:00	1.07088	1.07347	1.07064	1.07306	38124	0	0
2024.02.14	20:00:00	1.07308	1.07338	1.07242	1.07257	12536	0	1
2024.02.15	00:00:00	1.07241	1.07355	1.07229	1.07281	4844	0	0
2024.02.15	04:00:00	1.07282	1.07321	1.07244	1.07288	6008	0	0
2024.02.15	08:00:00	1.07289	1.07417	1.07269	1.07331	24804	0	0
2024.02.15	12:00:00	1.07331	1.07728	1.07306	1.07662	33129	0	0
2024.02.15	16:00:00	1.07662	1.07850	1.07551	1.07625	44910	0	0
2024.02.15	20:00:00	1.07624	1.07733	1.07602	1.07714	12976	0	1
2024.02.16	00:00:00	1.07705	1.07769	1.07608	1.07647	6526	0	0
2024.02.16	04:00:00	1.07648	1.07650	1.07571	1.07601	7583	0	0
2024.02.16	08:00:00	1.07601	1.07719	1.07583	1.07661	23005	0	0
2024.02.16	12:00:00	1.07661	1.07801	1.07319	1.07463	31282	0	0
2024.02.16	16:00:00	1.07463	1.07779	1.07407	1.07779	41059	0	0
2024.02.16	20:00:00	1.07778	1.07874	1.07727	1.07769	15297	0	1
2024.02.19	00:00:00	1.07722	1.07889	1.07706	1.07803	7566	0	0
2024.02.19	04:00:00	1.07803	1.07832	1.07746	1.07816	7233	0	0
2024.02.19	08:00:00	1.07817	1.07894	1.07721	1.07747	21793	0	0
2024.02.19	12:00:00	1.07748	1.07818	1.07674	1.07700	21661	0	0
2024.02.19	16:00:00	1.07700	1.07764	1.07618	1.07761	19961	0	0
2024.02.19	20:00:00	1.07760	1.07837	1.07757	1.07782	5910	0	0
2024.02.20	00:00:00	1.07785	1.07800	1.07648	1.07658	8156	0	0
2024.02.20	04:00:00	1.07658	1.07709	1.07613	1.07678	8612	0	0
2024.02.20	08:00:00	1.07678	1.07990	1.07672	1.07976	26449	0	1
2024.02.20	12:00:00	1.07976	1.08250	1.07935	1.08232	35748	0	0
2024.02.20	16:00:00	1.08231	1.08389	1.08089	1.08118	38211	0	0
2024.02.20	20:00:00	1.08117	1.08131	1.08043	1.08068	14595	0	0
2024.02.21	00:00:00	1.08064	1.08126	1.08028	1.08119	6530	0	2
2024.02.21	04:00:00	1.08118	1.08190	1.08116	1.08150	8421	0	0
2024.02.21	08:00:00	1.08149	1.08153	1.07897	1.07996	26563	0	1
2024.02.21	12:00:00	1.07996	1.08116	1.07939	1.08101	27263	0	0
2024.02.21	16:00:00	1.08099	1.08201	1.08007	1.08075	34156	0	0
2024.02.21	20:00:00	1.08075	1.08245	1.07997	1.08180	23470	0	1
2024.02.22	00:00:00	1.08181	1.08318	1.08102	1.08267	7249	0	0
2024.02.22	04:00:00	1.08265	1.08379	1.08188	1.08332	9482	0	0
2024.02.22	08:00:00	1.08330	1.08884	1.08326	1.08529	37916	0	1
2024.02.22	12:00:00	1.08529	1.08590	1.08211	1.08233	33660	0	0
2024.02.22	16:00:00	1.08233	1.08246	1.08027	1.08201	41458	0	0
2024.02.22	20:00:00	1.08201	1.08263	1.08142	1.08220	13642	0	0
2024.02.23	00:00:00	1.08222	1.08320	1.08147	1.08268	6978	0	0
2024.02.23	04:00:00	1.08269	1.08307	1.08207	1.08226	6975	0	0
