<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	1.05639	1.10593	1.05222	1.08609	3018603	4269213689000	0
2016.01.01	1.08696	1.09844	1.07104	1.08300	3351110	4724943247000	0
2016.02.01	1.08297	1.13761	1.08142	1.08718	3818540	5500152333000	0
2016.03.01	1.08751	1.14115	1.08219	1.13788	3055208	4663003257000	0
2016.04.01	1.13777	1.14645	1.12145	1.14504	2923549	4484811678000	0
2016.05.01	1.14582	1.16159	1.10977	1.11303	2699756	4213445043000	0
2016.06.01	1.11301	1.14278	1.09113	1.11048	3339585	5311811345000	0
2016.07.01	1.11014	1.11972	1.09314	1.11743	2607735	4145774761000	0
2016.08.01	1.11715	1.13661	1.10453	1.11571	2403774	3012405186000	0
2016.09.01	1.11562	1.13266	1.11228	1.12399	2579553	2837160733000	0
2016.10.01	1.12262	1.12439	1.08507	1.09762	2565398	2626603578000	0
2016.11.01	1.09761	1.12991	1.05176	1.05870	3413147	3007683461000	0
2016.12.01	1.05891	1.08734	1.03249	1.05068	2545165	1908170100000	0
2017.01.01	1.05100	1.08120	1.03399	1.07968	3219315	2682507305000	0
2017.02.01	1.07958	1.08284	1.04933	1.05757	2482533	2178835307000	0
2017.03.01	1.05731	1.09057	1.04946	1.06462	2754572	2488738235000	0
2017.04.01	1.06591	1.09506	1.05695	1.08921	1929575	1809612207000	0
2017.05.01	1.09086	1.12680	1.08387	1.12430	2519533	2418675949000	0
2017.06.01	1.12429	1.14451	1.11186	1.14254	1983487	187275049000	0
2017.07.01	1.14175	1.18446	1.13121	1.18397	2077101	0	7
2017.08.01	1.18397	1.20699	1.16619	1.19039	2261880	0	7
2017.09.01	1.19039	1.20921	1.17171	1.18131	2167133	1054193000	0
2017.10.01	1.17945	1.18797	1.15742	1.16457	1631656	0	0
2017.11.01	1.16451	1.19611	1.15540	1.19035	1533478	0	0
2017.12.01	1.19031	1.20255	1.17175	1.20045	1674856	0	0
2018.01.01	1.20088	1.25378	1.19155	1.24132	3529743	0	0
2018.02.01	1.24132	1.25554	1.21878	1.21929	3502479	0	1
2018.03.01	1.21924	1.24763	1.21546	1.23218	2911686	0	1
2018.04.01	1.23192	1.24137	1.20553	1.20774	1660348	0	1
2018.05.01	1.20772	1.20840	1.15098	1.16906	2483066	0	0
2018.06.01	1.16879	1.18519	1.15078	1.16831	2339635	0	0
2018.07.01	1.16841	1.17908	1.15747	1.16906	1968591	0	0
2018.08.01	1.16895	1.17333	1.13006	1.16021	1692688	0	2
2018.09.01	1.15955	1.18148	1.15255	1.16020	1391518	0	2
2018.10.01	1.16156	1.16243	1.13017	1.13135	1833494	0	2
2018.11.01	1.13134	1.14994	1.12153	1.13155	1650616	0	2
2018.12.01	1.13499	1.14855	1.12694	1.14558	1543294	0	2
2019.01.01	1.14454	1.15698	1.12889	1.14461	1618224	0	2
2019.02.01	1.14468	1.14880	1.12336	1.13696	1170778	0	2
2019.03.01	1.13697	1.14477	1.11756	1.12166	1314873	0	0
2019.04.01	1.12258	1.13235	1.11105	1.12140	1076088	0	2
2019.05.01	1.12148	1.12644	1.11066	1.11676	1189360	0	1
2019.06.01	1.11644	1.14116	1.11596	1.13693	1192123	0	1
2019.07.01	1.13670	1.13707	1.10601	1.10749	1002696	0	1
