<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	00:00:00	1.50534	1.50877	1.50507	1.50792	15793	12272124000	0
2015.12.01	04:00:00	1.50792	1.51020	1.50772	1.50996	16459	13893826000	11
2015.12.01	08:00:00	1.50996	1.51251	1.50783	1.50847	24739	22091370000	11
2015.12.01	12:00:00	1.50846	1.50944	1.50590	1.50647	23927	25632267000	11
2015.12.01	16:00:00	1.50647	1.50949	1.50501	1.50730	30103	31190621000	11
2015.12.01	20:00:00	1.50729	1.50865	1.50697	1.50794	10995	11453350000	11
2015.12.02	00:00:00	1.50803	1.50813	1.50675	1.50719	11866	8740410000	0
2015.12.02	04:00:00	1.50719	1.50721	1.50614	1.50624	9359	7396950000	11
2015.12.02	08:00:00	1.50625	1.50805	1.50327	1.50391	23464	25521455000	11
2015.12.02	12:00:00	1.50402	1.50581	1.49926	1.49946	26681	28823356000	11
2015.12.02	16:00:00	1.49946	1.50110	1.48945	1.49310	36111	38946675000	11
2015.12.02	20:00:00	1.49311	1.49560	1.49261	1.49495	19982	20228491000	11
2015.12.03	00:00:00	1.49416	1.49504	1.49325	1.49344	12029	10637687000	0
2015.12.03	04:00:00	1.49344	1.49351	1.49207	1.49215	12143	11652887000	11
2015.12.03	08:00:00	1.49214	1.49491	1.49040	1.49333	25355	29441860000	11
2015.12.03	12:00:00	1.49329	1.50686	1.49206	1.50421	41359	42871861000	11
2015.12.03	16:00:00	1.50419	1.51218	1.50229	1.51002	45462	44467243000	11
2015.12.03	20:00:00	1.51000	1.51586	1.50984	1.51434	25665	25485328000	11
2015.12.04	00:00:00	1.51407	1.51559	1.51184	1.51255	17752	13209795000	11
2015.12.04	04:00:00	1.51255	1.51321	1.51131	1.51228	14882	12709700000	11
2015.12.04	08:00:00	1.51227	1.51362	1.50773	1.51234	30668	30642797000	11
2015.12.04	12:00:00	1.51236	1.51563	1.50803	1.51133	37023	38065387000	11
2015.12.04	16:00:00	1.51134	1.51494	1.50817	1.50991	44456	46785074000	11
2015.12.04	20:00:00	1.50991	1.51162	1.50952	1.51049	15628	15698615000	11
2015.12.07	00:00:00	1.51065	1.51140	1.50976	1.51024	9505	9121250000	11
2015.12.07	04:00:00	1.51019	1.51035	1.50940	1.50977	9634	9740250000	11
2015.12.07	08:00:00	1.50976	1.51141	1.50537	1.50650	21642	22752193000	11
2015.12.07	12:00:00	1.50648	1.50910	1.50561	1.50769	23051	24832888000	11
2015.12.07	16:00:00	1.50769	1.50813	1.50602	1.50608	31089	33944465000	11
2015.12.07	20:00:00	1.50609	1.50768	1.50441	1.50526	14221	13026827000	11
2015.12.08	00:00:00	1.50534	1.50559	1.50422	1.50501	12861	10362846000	11
2015.12.08	04:00:00	1.50500	1.50547	1.50373	1.50427	12214	10774749000	11
2015.12.08	08:00:00	1.50427	1.50609	1.50018	1.50105	23764	25867563000	11
2015.12.08	12:00:00	1.50105	1.50152	1.49562	1.49658	32540	37230950000	11
2015.12.08	16:00:00	1.49657	1.50115	1.49654	1.50078	33626	38162974000	11
2015.12.08	20:00:00	1.50078	1.50132	1.49940	1.50071	16240	15976945000	11
2015.12.09	00:00:00	1.50050	1.50231	1.50040	1.50157	12413	10521655000	11
2015.12.09	04:00:00	1.50157	1.50230	1.50066	1.50116	11713	9185373000	11
2015.12.09	08:00:00	1.50115	1.50503	1.50115	1.50486	23947	25837091000	11
2015.12.09	12:00:00	1.50485	1.51157	1.50485	1.51107	31114	32004718000	11
2015.12.09	16:00:00	1.51106	1.51829	1.51096	1.51671	37747	40422201000	11
2015.12.09	20:00:00	1.51672	1.51913	1.51589	1.51806	27296	25948805000	11
2015.12.10	00:00:00	1.51752	1.51957	1.51702	1.51767	19624	14891373000	11
2015.12.10	04:00:00	1.51767	1.51827	1.51696	1.51774	12521	11644622000	11
2015.12.10	08:00:00	1.51774	1.51882	1.51559	1.51790	26269	24597954000	11
2015.12.10	12:00:00	1.51789	1.52015	1.51105	1.51577	34088	29825321000	11
2015.12.10	16:00:00	1.51576	1.51870	1.51518	1.51680	27775	25561334000	11
2015.12.10	20:00:00	1.51679	1.51711	1.51498	1.51572	12764	10295550000	11
2015.12.11	00:00:00	1.51583	1.51632	1.51407	1.51447	12748	9720811000	11
2015.12.11	04:00:00	1.51447	1.51456	1.51315	1.51322	7921	5616280000	11
2015.12.11	08:00:00	1.51324	1.51676	1.51321	1.51355	20140	20869217000	11
2015.12.11	12:00:00	1.51355	1.51739	1.51249	1.51648	30265	28104434000	11
