<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	1.52245	1.52300	1.47313	1.47317	1429707	1320339619000	0
2016.01.01	1.47306	1.48152	1.40790	1.42422	2944733	2799123113000	0
2016.02.01	1.42384	1.46679	1.38351	1.39122	3673556	3610667851000	0
2016.03.01	1.39123	1.45139	1.39037	1.43613	3178716	3124820487000	0
2016.04.01	1.43584	1.46706	1.40047	1.46102	3113852	3300469072000	0
2016.05.01	1.45863	1.47691	1.43318	1.44792	3098985	3506443759000	0
2016.06.01	1.44756	1.50171	1.31197	1.33091	3635811	4011505154000	0
2016.07.01	1.33017	1.34801	1.27950	1.32224	3004656	3159012319000	0
2016.08.01	1.32190	1.33712	1.28650	1.31369	2487628	2280116931000	0
2016.09.01	1.31398	1.34445	1.29145	1.29735	2692633	2292725879000	0
2016.10.01	1.29171	1.29459	1.14754	1.22381	2896933	2057758410000	0
2016.11.01	1.22383	1.26730	1.22052	1.25041	3419802	2636200576000	0
2016.12.01	1.25031	1.27742	1.19594	1.23245	2399839	1344333358000	0
2017.01.01	1.23260	1.26731	1.19864	1.25753	3252720	1962140179000	0
2017.02.01	1.25778	1.27057	1.23463	1.23805	2635911	1793931670000	0
2017.03.01	1.23745	1.26148	1.21087	1.25342	2873780	2063844638000	0
2017.04.01	1.25420	1.29647	1.23581	1.29246	2211728	1568770747000	0
2017.05.01	1.29321	1.30470	1.27684	1.28878	2620802	1992618848000	0
2017.06.01	1.28878	1.30293	1.25885	1.30222	2154541	162558067000	0
2017.07.01	1.30044	1.32114	1.28113	1.32103	1917730	0	11
2017.08.01	1.32100	1.32677	1.27736	1.29286	1943083	0	11
2017.09.01	1.29222	1.36559	1.29048	1.33966	2348386	862992000	0
2017.10.01	1.33693	1.34019	1.30270	1.32823	1773916	0	0
2017.11.01	1.32817	1.35487	1.30392	1.35237	1694427	0	0
2017.12.01	1.35237	1.35492	1.32851	1.35078	2393649	0	0
2018.01.01	1.35053	1.43452	1.34579	1.41878	4206766	0	0
2018.02.01	1.41878	1.42781	1.37566	1.37594	3903188	0	1
2018.03.01	1.37596	1.42444	1.37115	1.40211	3465762	0	1
2018.04.01	1.40126	1.43762	1.37122	1.37552	1762765	0	1
2018.05.01	1.37552	1.37725	1.32040	1.32933	2373678	0	1
2018.06.01	1.32929	1.34723	1.30491	1.32084	2188637	0	1
2018.07.01	1.31941	1.33627	1.29573	1.31219	2052056	0	0
2018.08.01	1.31194	1.31438	1.26611	1.29554	1881412	0	3
2018.09.01	1.29139	1.32979	1.27848	1.30290	1677623	0	3
2018.10.01	1.30380	1.32572	1.26936	1.27679	2601861	0	3
2018.11.01	1.27679	1.31740	1.27223	1.27479	2385778	0	3
2018.12.01	1.27430	1.28393	1.24756	1.27443	2279423	0	3
2019.01.01	1.27302	1.32173	1.23953	1.31080	2214784	0	3
2019.02.01	1.31101	1.33494	1.27722	1.32607	1812415	0	4
2019.03.01	1.32609	1.33807	1.29594	1.30280	2300503	0	4
2019.04.01	1.30381	1.31955	1.28650	1.30314	1988725	0	3
2019.05.01	1.30358	1.31762	1.25583	1.26304	1929953	0	5
2019.06.01	1.26291	1.27832	1.25053	1.26944	1979039	0	4
2019.07.01	1.26943	1.27050	1.21190	1.21594	1580519	0	2
2019.08.01	1.21563	1.23093	1.20148	1.21625	2134465	0	2
2019.09.01	1.21395	1.25813	1.19579	1.22865	1658211	0	2
2019.10.01	1.22865	1.30120	1.21950	1.29264	1675494	0	0
2019.11.01	1.29264	1.29850	1.27684	1.29170	1004527	0	0
2019.12.01	1.29088	1.35143	1.28957	1.32448	1089339	0	2
2020.01.01	1.32090	1.32305	1.29541	1.32080	1210479	0	0
2020.02.01	1.31701	1.31841	1.27255	1.28212	1317457	0	0
2020.03.01	1.27918	1.31997	1.14098	1.24163	3028159	0	0
2020.04.01	1.24219	1.26471	1.21645	1.25900	1885686	0	0
