<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	0.65841	0.66871	0.65809	0.66750	120169	94419751000	19
2015.12.02	0.66733	0.66792	0.66123	0.66383	125628	102541982000	21
2015.12.03	0.66363	0.67048	0.66071	0.66862	143812	107559177000	0
2015.12.04	0.66861	0.67865	0.66340	0.67442	136123	107693539000	21
2015.12.07	0.67376	0.67405	0.66263	0.66398	108351	88376195000	21
2015.12.08	0.66384	0.66572	0.66105	0.66414	105800	78322308000	0
2015.12.09	0.66297	0.67585	0.65744	0.67192	113834	86763764000	21
2015.12.10	0.67082	0.67811	0.67078	0.67520	126276	87633805000	0
2015.12.11	0.67460	0.67807	0.67021	0.67132	98465	64920279000	21
2015.12.14	0.67034	0.67891	0.66903	0.67551	102447	66965608000	21
2015.12.15	0.67551	0.68247	0.67399	0.67632	116364	77587988000	0
2015.12.16	0.67616	0.68338	0.67132	0.67950	125315	83289526000	21
2015.12.17	0.67876	0.67995	0.66871	0.66995	115923	71027067000	19
2015.12.18	0.66944	0.67514	0.66802	0.67246	102675	62656142000	0
2015.12.21	0.67211	0.67791	0.67197	0.67592	60581	34277389000	21
2015.12.22	0.67596	0.68352	0.67569	0.68050	84519	53829529000	0
2015.12.23	0.68031	0.68281	0.67607	0.67920	73247	47658557000	0
2015.12.24	0.67701	0.68409	0.67689	0.68357	33450	19164141000	0
2015.12.28	0.68287	0.68521	0.68233	0.68441	37742	22385628000	21
2015.12.29	0.68446	0.68821	0.68375	0.68674	51961	31602091000	21
2015.12.30	0.68664	0.68712	0.68291	0.68375	66821	36496388000	0
2015.12.31	0.68378	0.68662	0.68301	0.68380	51490	29042120000	0
2016.01.04	0.68278	0.68343	0.67183	0.67491	86945	51365892000	21
2016.01.05	0.67475	0.67567	0.66758	0.67028	86357	55804023000	0
2016.01.06	0.67016	0.67072	0.66249	0.66366	110449	64422622000	17
2016.01.07	0.66377	0.66657	0.65896	0.66231	117921	72791828000	16
2016.01.08	0.66231	0.66779	0.65392	0.65427	113602	72103496000	21
2016.01.11	0.65179	0.65789	0.65084	0.65573	96606	62858705000	0
2016.01.12	0.65555	0.65676	0.65141	0.65322	101678	70788356000	0
2016.01.13	0.65308	0.65899	0.65101	0.65107	99298	72285872000	16
2016.01.14	0.65133	0.65145	0.64179	0.64710	113709	74811550000	16
2016.01.15	0.64681	0.64904	0.63803	0.64612	116693	76372865000	20
2016.01.18	0.64007	0.64788	0.64007	0.64489	100088	67471031000	0
2016.01.19	0.64497	0.65126	0.64009	0.64076	124250	82041379000	21
2016.01.20	0.64038	0.64363	0.63462	0.64284	125512	96032510000	0
2016.01.21	0.64246	0.65578	0.64101	0.65281	125851	99107913000	0
2016.01.22	0.65259	0.65499	0.64655	0.64862	99712	88812653000	21
2016.01.25	0.64863	0.65321	0.64488	0.64520	102169	82382225000	0
2016.01.26	0.64505	0.65108	0.64240	0.64963	103405	84449688000	0
2016.01.27	0.64962	0.65302	0.64160	0.64298	139377	120596285000	0
2016.01.28	0.64281	0.65129	0.64172	0.64802	128259	122161174000	16
2016.01.29	0.64788	0.65424	0.64576	0.64774	125806	96805055000	20
2016.02.01	0.64824	0.65571	0.64476	0.65446	102196	83107247000	18
2016.02.02	0.65447	0.65531	0.64613	0.65124	112238	97732134000	21
2016.02.03	0.65114	0.66966	0.65058	0.66600	126906	106354902000	21
2016.02.04	0.66596	0.67465	0.66403	0.67206	121269	106425776000	14
2016.02.05	0.67200	0.67523	0.66144	0.66206	110156	99711630000	21
2016.02.08	0.66144	0.66584	0.65917	0.66248	103045	103575254000	21
2016.02.09	0.66247	0.66678	0.65622	0.66332	133592	97470355000	21
2016.02.10	0.66318	0.66940	0.66040	0.66835	133217	108773491000	0
2016.02.11	0.66781	0.67335	0.65843	0.67139	147008	86524195000	0
2016.02.12	0.67150	0.67379	0.66111	0.66122	117846	84801980000	21
2016.02.15	0.66078	0.66754	0.66078	0.66458	134159	89606582000	0
2016.02.16	0.66446	0.66746	0.65441	0.65764	133755	99077202000	21
2016.02.17	0.65768	0.66486	0.65522	0.66280	125969	80459123000	0
2016.02.18	0.66279	0.66674	0.66050	0.66408	124023	89443635000	21
2016.02.19	0.66421	0.66455	0.65641	0.66271	106510	75251771000	0
2016.02.22	0.66425	0.67246	0.66211	0.66970	121506	144533106000	21
2016.02.23	0.66925	0.67136	0.66367	0.66403	111177	123886231000	21
2016.02.24	0.66384	0.66732	0.65855	0.66547	98869	95087867000	21
2016.02.25	0.66547	0.67292	0.66412	0.67197	119135	126954290000	21
2016.02.26	0.67197	0.67735	0.66168	0.66256	103068	108795422000	21
2016.02.29	0.65866	0.66194	0.65642	0.65890	121833	114348445000	0
2016.03.01	0.65871	0.66390	0.65702	0.66235	134545	135630643000	0
2016.03.02	0.66211	0.66773	0.65921	0.66741	158269	185415643000	0
2016.03.03	0.66712	0.67552	0.66540	0.67210	132716	143407678000	0
2016.03.04	0.67200	0.68190	0.67133	0.68188	126506	131092672000	0
2016.03.07	0.67806	0.68141	0.67488	0.67985	113820	119530056000	0
2016.03.08	0.68000	0.68011	0.67333	0.67437	108242	111872264000	0
2016.03.09	0.67420	0.68087	0.66407	0.66515	119067	124214663000	21
2016.03.10	0.66506	0.67089	0.66178	0.66655	139086	153299876000	0
2016.03.11	0.66388	0.67724	0.66272	0.67419	115568	111958655000	21
2016.03.14	0.67297	0.67544	0.66565	0.66684	114296	112164784000	0
2016.03.15	0.66685	0.66836	0.65862	0.66062	118674	117833374000	0
2016.03.16	0.66063	0.67804	0.65743	0.67599	115078	114545126000	0
2016.03.17	0.67600	0.68580	0.67249	0.68335	153397	160312174000	0
2016.03.18	0.68337	0.68727	0.67824	0.67906	92445	78288380000	21
2016.03.21	0.67863	0.67909	0.67455	0.67665	116383	125728891000	0
2016.03.22	0.67665	0.67753	0.67198	0.67470	119326	111209159000	0
2016.03.23	0.67471	0.67695	0.66818	0.67063	82489	69072335000	0
2016.03.24	0.67065	0.67211	0.66702	0.66977	80127	73485834000	21
2016.03.25	0.66983	0.67142	0.66736	0.66785	38990	40286842000	21
2016.03.28	0.66754	0.67348	0.66668	0.67207	44546	53139945000	0
2016.03.29	0.67189	0.68655	0.67152	0.68454	115714	138419079000	19
2016.03.30	0.68454	0.69643	0.68400	0.69171	141820	170790667000	21
2016.03.31	0.69173	0.69653	0.68805	0.69067	125683	146845409000	0
2016.04.01	0.69059	0.69357	0.68344	0.69027	118362	136682534000	0
2016.04.04	0.68823	0.69030	0.68284	0.68311	102601	111094244000	0
2016.04.05	0.68297	0.68341	0.67580	0.68013	122777	153999774000	0
2016.04.06	0.68013	0.68434	0.67727	0.68187	127043	135348130000	21
2016.04.07	0.68177	0.68616	0.67615	0.67743	128304	142652677000	0
2016.04.08	0.67744	0.68288	0.67689	0.67790	95587	100832462000	0
2016.04.11	0.68009	0.68776	0.67902	0.68566	121972	147944819000	0
2016.04.12	0.68565	0.69249	0.68501	0.69220	116808	136626388000	0
2016.04.13	0.69218	0.69514	0.68969	0.69174	123955	156855196000	21
2016.04.14	0.69164	0.69189	0.68228	0.68409	121908	145930426000	0
2016.04.15	0.68444	0.69263	0.68399	0.69163	106152	135186561000	0
2016.04.18	0.68747	0.69564	0.68429	0.69472	103168	98391119000	0
2016.04.19	0.69468	0.70530	0.69460	0.70417	99210	109918464000	0
2016.04.20	0.70410	0.70485	0.69711	0.69744	100637	103201059000	0
2016.04.21	0.69740	0.69824	0.68989	0.69103	106915	101754096000	0
2016.04.22	0.69092	0.69353	0.68340	0.68468	91008	84829306000	0
2016.04.25	0.68364	0.68768	0.68352	0.68524	70367	68807659000	0
2016.04.26	0.68517	0.69092	0.68510	0.68970	81319	83093119000	0
2016.04.27	0.68923	0.69052	0.68058	0.68273	97363	95968943000	0
2016.04.28	0.68902	0.69888	0.68650	0.69581	96488	99727774000	0
2016.04.29	0.69570	0.69977	0.69500	0.69772	86330	90841111000	0
2016.05.02	0.69738	0.70233	0.69709	0.70179	79107	92035426000	0
2016.05.03	0.70176	0.70527	0.69096	0.69104	113383	121155881000	16
2016.05.04	0.69106	0.69399	0.68588	0.68794	117930	126689744000	0
2016.05.05	0.68794	0.69162	0.68704	0.68814	98151	119115515000	21
2016.05.06	0.68811	0.68900	0.68060	0.68351	97837	114747394000	0
2016.05.09	0.68227	0.68469	0.67629	0.67657	82662	96000192000	21
2016.05.10	0.67663	0.67774	0.67150	0.67564	91648	106042858000	0
2016.05.11	0.67554	0.68447	0.67508	0.68156	92565	109200433000	0
2016.05.12	0.68158	0.68467	0.68037	0.68178	94731	130892249000	0
2016.05.13	0.68156	0.68293	0.67545	0.67653	96314	123656204000	0
2016.05.16	0.67581	0.68082	0.67452	0.67880	77429	107990879000	0
2016.05.17	0.67871	0.68418	0.67778	0.68087	94588	126910395000	0
2016.05.18	0.68100	0.68104	0.67274	0.67379	103110	136584332000	0
2016.05.19	0.67365	0.67640	0.67093	0.67418	98686	102418299000	21
2016.05.20	0.67391	0.67803	0.67354	0.67363	74299	85902515000	0
2016.05.23	0.67611	0.68058	0.67471	0.67603	79647	78556327000	21
2016.05.24	0.67595	0.67667	0.67042	0.67359	85856	100431459000	21
2016.05.25	0.67357	0.67720	0.67245	0.67392	91335	98932636000	21
2016.05.26	0.67361	0.67652	0.66912	0.67389	89699	102100872000	0
2016.05.27	0.67376	0.67572	0.66862	0.66912	77305	80100206000	0
2016.05.30	0.66897	0.67050	0.66743	0.66914	63062	77258201000	0
2016.05.31	0.66913	0.67751	0.66870	0.67614	102555	129468239000	0
2016.06.01	0.67616	0.68286	0.67592	0.68150	113877	140357233000	0
2016.06.02	0.68144	0.68331	0.67781	0.68076	106221	145848321000	0
2016.06.03	0.68067	0.69595	0.68000	0.69519	111019	150802125000	0
2016.06.06	0.69426	0.69496	0.69026	0.69198	99533	116702963000	21
2016.06.07	0.69163	0.69809	0.68918	0.69764	96877	133794359000	0
2016.06.08	0.69755	0.70266	0.69435	0.70179	97259	128239254000	0
2016.06.09	0.70851	0.71469	0.70716	0.71004	114050	138703404000	0
2016.06.10	0.71012	0.71218	0.70391	0.70411	95228	117608649000	21
2016.06.13	0.70497	0.70805	0.70302	0.70586	100338	126865391000	21
2016.06.14	0.70543	0.70610	0.69911	0.69911	103632	131718267000	21
2016.06.15	0.69926	0.70703	0.69623	0.70326	105171	139060868000	0
2016.06.16	0.70307	0.70927	0.69675	0.70409	121424	147222586000	0
2016.06.17	0.70424	0.70713	0.70254	0.70254	98622	119583272000	0
2016.06.20	0.70686	0.71295	0.70493	0.71178	85565	97920526000	0
2016.06.21	0.71157	0.71682	0.71008	0.71198	85984	106992056000	0
2016.06.22	0.71176	0.71874	0.71172	0.71562	82237	108586346000	21
2016.06.23	0.71539	0.72536	0.71538	0.72390	94835	113035889000	0
2016.06.24	0.72330	0.72915	0.69704	0.70980	117478	144823092000	0
2016.06.27	0.70670	0.71121	0.69791	0.69937	123140	131405316000	21
2016.06.28	0.69912	0.70843	0.69751	0.70458	95772	128156876000	0
2016.06.29	0.70409	0.71352	0.70385	0.71106	97795	127971428000	0
2016.06.30	0.71076	0.71402	0.70563	0.71339	111564	144703760000	0
2016.07.01	0.71162	0.71965	0.71162	0.71699	83281	108500813000	0
2016.07.04	0.71576	0.72396	0.71575	0.72212	74335	90956971000	21
2016.07.05	0.72238	0.72328	0.71381	0.71517	98693	118719770000	21
2016.07.06	0.71384	0.71552	0.70783	0.71300	120480	155660823000	0
2016.07.07	0.71202	0.72350	0.71149	0.72241	105793	134180706000	0
