<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	00:00:00	0.65841	0.66354	0.65809	0.66264	15878	11566599000	21
2015.12.01	04:00:00	0.66265	0.66458	0.66178	0.66286	20885	12939153000	21
2015.12.01	08:00:00	0.66286	0.66664	0.66259	0.66549	20469	15078439000	21
2015.12.01	12:00:00	0.66549	0.66550	0.66383	0.66503	18796	15753700000	21
2015.12.01	16:00:00	0.66503	0.66790	0.66431	0.66705	27929	23686690000	21
2015.12.01	20:00:00	0.66720	0.66871	0.66691	0.66750	16212	15395170000	19
2015.12.02	00:00:00	0.66733	0.66792	0.66523	0.66581	18736	14204260000	21
2015.12.02	04:00:00	0.66582	0.66662	0.66555	0.66599	15918	12324034000	21
2015.12.02	08:00:00	0.66598	0.66744	0.66590	0.66673	20124	17140444000	21
2015.12.02	12:00:00	0.66673	0.66673	0.66401	0.66414	22054	16494050000	21
2015.12.02	16:00:00	0.66414	0.66569	0.66123	0.66294	31084	26977744000	21
2015.12.02	20:00:00	0.66295	0.66465	0.66261	0.66383	17712	15401450000	21
2015.12.03	00:00:00	0.66363	0.66447	0.66271	0.66388	17118	12208009000	0
2015.12.03	04:00:00	0.66387	0.66581	0.66348	0.66522	16218	9800320000	21
2015.12.03	08:00:00	0.66523	0.66616	0.66463	0.66567	22050	16026145000	21
2015.12.03	12:00:00	0.66567	0.66701	0.66323	0.66609	29839	23106628000	21
2015.12.03	16:00:00	0.66608	0.66629	0.66071	0.66571	33943	26180075000	21
2015.12.03	20:00:00	0.66571	0.67048	0.66567	0.66862	24644	20238000000	21
2015.12.04	00:00:00	0.66861	0.66957	0.66518	0.66771	17526	13470449000	21
2015.12.04	04:00:00	0.66772	0.66930	0.66687	0.66854	14190	9889550000	21
2015.12.04	08:00:00	0.66853	0.66997	0.66735	0.66797	22972	18718550000	21
2015.12.04	12:00:00	0.66796	0.66984	0.66340	0.66948	25460	22039807000	21
2015.12.04	16:00:00	0.66948	0.67865	0.66816	0.67405	40833	30752233000	21
2015.12.04	20:00:00	0.67403	0.67471	0.67345	0.67442	15142	12822950000	21
2015.12.07	00:00:00	0.67376	0.67405	0.67080	0.67141	17420	12004480000	21
2015.12.07	04:00:00	0.67140	0.67146	0.66895	0.66961	15121	11724792000	21
2015.12.07	08:00:00	0.66960	0.67032	0.66712	0.66712	16493	15152150000	21
2015.12.07	12:00:00	0.66711	0.66776	0.66441	0.66508	18614	16967147000	21
2015.12.07	16:00:00	0.66507	0.66565	0.66372	0.66434	26075	21650880000	21
2015.12.07	20:00:00	0.66440	0.66499	0.66263	0.66398	14628	10876746000	21
2015.12.08	00:00:00	0.66384	0.66490	0.66307	0.66393	11665	9619249000	0
2015.12.08	04:00:00	0.66395	0.66464	0.66261	0.66350	14609	7980924000	21
2015.12.08	08:00:00	0.66349	0.66572	0.66288	0.66331	20821	14639437000	21
2015.12.08	12:00:00	0.66332	0.66345	0.66105	0.66208	22468	16443173000	21
2015.12.08	16:00:00	0.66208	0.66469	0.66190	0.66385	24790	20233483000	21
