<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.06	0.67376	0.67811	0.65744	0.67132	552726	406016351000	0
2015.12.13	0.67034	0.68338	0.66802	0.67246	562724	361526331000	0
2015.12.20	0.67211	0.68409	0.67197	0.68357	251797	154929616000	0
2015.12.27	0.68287	0.68821	0.68233	0.68380	208014	119526227000	0
2016.01.03	0.68278	0.68343	0.65392	0.65427	515274	316487861000	0
2016.01.10	0.65179	0.65899	0.63803	0.64612	527984	357117348000	0
2016.01.17	0.64007	0.65578	0.63462	0.64862	575413	433465486000	0
2016.01.24	0.64863	0.65424	0.64160	0.64774	599016	506394427000	0
2016.01.31	0.64824	0.67523	0.64476	0.66206	572765	493331689000	14
2016.02.07	0.66144	0.67379	0.65622	0.66122	634708	481145275000	0
2016.02.14	0.66078	0.66754	0.65441	0.66271	624416	433838313000	0
2016.02.21	0.66425	0.67735	0.65855	0.66256	553755	599256916000	21
2016.02.28	0.65866	0.68190	0.65642	0.68188	673869	709895081000	0
2016.03.06	0.67806	0.68141	0.66178	0.67419	595783	620875514000	0
2016.03.13	0.67297	0.68727	0.65743	0.67906	593890	583143838000	0
2016.03.20	0.67863	0.67909	0.66702	0.66785	437315	419783061000	0
2016.03.27	0.66754	0.69653	0.66668	0.69027	546125	645877634000	0
2016.04.03	0.68823	0.69030	0.67580	0.67790	576312	643927287000	0
2016.04.10	0.68009	0.69514	0.67902	0.69163	590795	722543390000	0
2016.04.17	0.68747	0.70530	0.68340	0.68468	500938	498094044000	0
2016.04.24	0.68364	0.69977	0.68058	0.69772	431867	438438606000	0
2016.05.01	0.69738	0.70527	0.68060	0.68351	506408	573743960000	0
2016.05.08	0.68227	0.68469	0.67150	0.67653	457920	565791936000	0
2016.05.15	0.67581	0.68418	0.67093	0.67363	448112	559806420000	0
2016.05.22	0.67611	0.68058	0.66862	0.66912	423842	460121500000	0
2016.05.29	0.66897	0.69595	0.66743	0.69519	496734	643734119000	0
2016.06.05	0.69426	0.71469	0.68918	0.70411	502947	635048629000	0
2016.06.12	0.70497	0.70927	0.69623	0.70254	529187	664450384000	0
2016.06.19	0.70686	0.72915	0.69704	0.70980	466099	571357909000	0
2016.06.26	0.70670	0.71965	0.69751	0.71699	511552	640738193000	0
2016.07.03	0.71576	0.73056	0.70783	0.73018	493546	614477073000	0
2016.07.10	0.72901	0.73238	0.71059	0.71084	517105	669186802000	0
2016.07.17	0.71351	0.71530	0.69506	0.69983	428379	621583961000	0
2016.07.24	0.69914	0.72280	0.69555	0.72078	421392	496731026000	0
2016.07.31	0.71998	0.72555	0.71206	0.71362	448016	459287996000	0
2016.08.07	0.71318	0.73422	0.70860	0.71939	436961	487665064000	0
2016.08.14	0.71820	0.73212	0.71637	0.72719	464501	500379192000	0
2016.08.21	0.72424	0.73794	0.72082	0.72192	458012	494795427000	0
2016.08.28	0.72248	0.73588	0.72032	0.72664	475899	471195848000	0
2016.09.04	0.72781	0.74843	0.72764	0.72969	465473	443650880000	0
2016.09.11	0.73170	0.73630	0.72340	0.72633	612439	620776775000	0
2016.09.18	0.72531	0.73685	0.72224	0.72418	525551	567347956000	0
2016.09.25	0.72448	0.73292	0.72198	0.72842	542624	584447170000	0
2016.10.02	0.72717	0.73097	0.71088	0.71616	509736	517760057000	0
2016.10.09	0.71774	0.71805	0.70335	0.70622	496182	545978046000	0
2016.10.16	0.70917	0.72650	0.70759	0.71604	426566	424956532000	0
2016.10.23	0.71560	0.71826	0.71071	0.71401	430120	419482224000	0
2016.10.30	0.71574	0.73390	0.71365	0.73006	499486	492596461000	0
2016.11.06	0.73379	0.74020	0.71052	0.71052	682135	627376270000	0
2016.11.13	0.71391	0.71434	0.69838	0.69838	633457	598546385000	0
2016.11.20	0.69900	0.70847	0.69701	0.70396	545858	500761642000	0
2016.11.27	0.70402	0.71687	0.70320	0.71300	532901	474815117000	0
2016.12.04	0.71075	0.72216	0.70682	0.71330	427492	317475980000	0
2016.12.11	0.71222	0.72376	0.69298	0.69410	564198	353670514000	0
2016.12.18	0.69611	0.69880	0.68610	0.68747	410479	277220633000	0
2016.12.25	0.68877	0.69777	0.68201	0.68993	319295	229112186000	0
2017.01.01	0.69162	0.70423	0.68838	0.69564	539506	419321742000	0
2017.01.08	0.69602	0.71434	0.69479	0.71278	639293	482042485000	0
2017.01.15	0.71035	0.72241	0.70752	0.71676	618234	477165800000	0
2017.01.22	0.71591	0.73110	0.71533	0.72580	554216	422023142000	0
2017.01.29	0.72687	0.73490	0.72354	0.72947	574967	452631001000	0
2017.02.05	0.73041	0.73748	0.71701	0.71761	511390	422270355000	0
2017.02.12	0.71984	0.72414	0.71333	0.71569	481097	401809863000	0
2017.02.19	0.71838	0.72457	0.71288	0.71727	405055	324885629000	0
2017.02.26	0.71970	0.72362	0.70013	0.70138	477241	385341736000	0
2017.03.05	0.70178	0.70445	0.68888	0.69180	435344	340574691000	0
2017.03.12	0.69321	0.70476	0.68927	0.70163	427008	328178937000	0
2017.03.19	0.70160	0.70890	0.69935	0.70042	421665	331864459000	0
2017.03.26	0.70296	0.70670	0.69751	0.69818	364872	286050616000	0
2017.04.02	0.69893	0.70218	0.69258	0.69258	350363	265935271000	0
2017.04.09	0.69295	0.70145	0.69083	0.69779	331189	247463119000	0
2017.04.16	0.69871	0.70517	0.69775	0.70070	334670	258898685000	0
2017.04.23	0.70439	0.70462	0.68471	0.68613	346821	257420540000	0
2017.04.30	0.68548	0.69676	0.68382	0.68923	332975	271341135000	0
2017.05.07	0.69046	0.69497	0.68168	0.68658	363288	301457300000	0
2017.05.14	0.68531	0.69487	0.68505	0.69216	386369	284189107000	0
2017.05.21	0.69204	0.70761	0.69090	0.70460	327527	239278943000	0
2017.05.28	0.70432	0.71456	0.70340	0.71336	287940	210804213000	0
2017.06.04	0.71284	0.72219	0.71128	0.72050	266199	0	21
2017.06.11	0.72017	0.73183	0.71699	0.72399	275298	0	21
2017.06.18	0.72458	0.72973	0.72052	0.72800	217743	0	21
2017.06.25	0.72788	0.73458	0.72525	0.73250	272470	0	21
2017.07.02	0.73222	0.73443	0.72431	0.72706	252557	0	21
2017.07.09	0.72715	0.73676	0.72006	0.73450	276384	0	21
2017.07.16	0.73391	0.74576	0.72616	0.74508	349823	0	21
2017.07.23	0.74311	0.75573	0.74003	0.75134	403339	0	21
2017.07.30	0.74933	0.75231	0.73898	0.74124	334727	0	21
2017.08.06	0.73987	0.74155	0.72507	0.73169	323083	0	6
2017.08.13	0.73058	0.73341	0.72222	0.73057	302818	0	21
2017.08.20	0.73100	0.73361	0.71907	0.72345	271028	0	21
2017.08.27	0.72374	0.72976	0.71308	0.71547	340395	0	20
2017.09.03	0.71474	0.73364	0.71448	0.72611	397635	0	21
2017.09.10	0.72539	0.73201	0.71835	0.72732	495752	1321350000	0
2017.09.17	0.72775	0.74340	0.72474	0.73152	488833	0	0
2017.09.24	0.72991	0.73275	0.71665	0.72017	506866	0	0
2017.10.01	0.72100	0.72261	0.70587	0.70837	400704	0	0
2017.10.08	0.70615	0.71966	0.70557	0.71726	343677	0	0
2017.10.15	0.71700	0.72039	0.69538	0.69568	366962	0	0
2017.10.22	0.69501	0.70042	0.68180	0.68743	331655	0	0
2017.10.29	0.68758	0.69503	0.68240	0.69062	269978	0	0
2017.11.05	0.69038	0.69798	0.68749	0.69245	255635	0	0
2017.11.12	0.69134	0.69372	0.67804	0.68131	249037	0	0
2017.11.19	0.68042	0.69053	0.67890	0.68691	196790	0	0
2017.11.26	0.68777	0.69454	0.68165	0.68883	295654	0	0
2017.12.03	0.68601	0.69169	0.68224	0.68376	299845	0	0
2017.12.10	0.68370	0.70338	0.68344	0.69883	320252	0	0
2017.12.17	0.69957	0.70279	0.69539	0.70212	291800	0	3
2017.12.24	0.70293	0.71237	0.70097	0.70978	155438	0	3
2017.12.31	0.70815	0.71864	0.70539	0.71698	256389	0	3
2018.01.07	0.71544	0.72761	0.71395	0.72474	460464	0	1
2018.01.14	0.72373	0.73311	0.72346	0.72709	507795	0	1
2018.01.21	0.72745	0.74370	0.72673	0.73476	620173	0	1
2018.01.28	0.73366	0.74197	0.72793	0.73030	625692	0	1
2018.02.04	0.72859	0.73508	0.71764	0.72584	724817	0	1
2018.02.11	0.72433	0.74370	0.72318	0.73891	516300	0	1
2018.02.18	0.73697	0.74092	0.72706	0.73008	434016	0	1
2018.02.25	0.72910	0.73449	0.71859	0.72418	479444	0	1
2018.03.04	0.72340	0.73108	0.72027	0.72807	486782	0	1
2018.03.11	0.72886	0.73549	0.72078	0.72159	388563	0	1
2018.03.18	0.72158	0.72735	0.71533	0.72340	501702	0	1
2018.03.25	0.72284	0.73031	0.71879	0.72390	371562	0	1
2018.04.01	0.72235	0.73220	0.71871	0.72714	267075	0	1
2018.04.08	0.72633	0.73950	0.72622	0.73576	221892	0	1
2018.04.15	0.73528	0.73721	0.72005	0.72085	193460	0	1
2018.04.22	0.72130	0.72177	0.70382	0.70848	235418	0	1
2018.04.29	0.70766	0.70890	0.69847	0.70193	274300	0	1
2018.05.06	0.70177	0.70411	0.69025	0.69668	263295	0	1
2018.05.13	0.69552	0.69742	0.68508	0.69187	257190	0	1
2018.05.20	0.69148	0.69743	0.68838	0.69169	278190	0	1
2018.05.27	0.69087	0.70235	0.68823	0.69829	267412	0	1
2018.06.03	0.69741	0.70598	0.69710	0.70333	195657	0	1
2018.06.10	0.70146	0.70534	0.69274	0.69398	204090	0	1
2018.06.17	0.69278	0.69556	0.68256	0.69091	228594	0	1
2018.06.24	0.69099	0.69213	0.67359	0.67764	240331	0	1
2018.07.01	0.67870	0.68442	0.66876	0.68373	184961	0	1
2018.07.08	0.68325	0.68588	0.67251	0.67665	180156	0	1
2018.07.15	0.67580	0.68404	0.67135	0.68076	236790	0	0
2018.07.22	0.67902	0.68491	0.67608	0.67913	168342	0	9
2018.07.29	0.67914	0.68331	0.67188	0.67451	139402	0	10
2018.08.05	0.67399	0.67612	0.65688	0.65755	149201	0	8
2018.08.12	0.65636	0.66357	0.65429	0.66357	183497	0	9
2018.08.19	0.66343	0.67200	0.66092	0.66864	185634	0	8
2018.08.26	0.66774	0.67256	0.66055	0.66193	207503	0	9
2018.09.02	0.66126	0.66200	0.65265	0.65307	199640	0	8
2018.09.09	0.65299	0.65940	0.64994	0.65442	177073	0	10
2018.09.16	0.65494	0.66976	0.65370	0.66779	221032	0	10
2018.09.23	0.66671	0.66944	0.65969	0.66126	203771	0	10
2018.09.30	0.66078	0.66269	0.64308	0.64364	190661	0	10
2018.10.07	0.64373	0.65318	0.64228	0.65076	233473	0	10
2018.10.14	0.64983	0.66058	0.64929	0.65880	281780	0	9
2018.10.21	0.66075	0.66090	0.64634	0.65210	324789	0	8
2018.10.28	0.65202	0.66882	0.65116	0.66444	270893	0	8
2018.11.04	0.66321	0.68189	0.66225	0.67364	289588	0	11
2018.11.11	0.67259	0.68824	0.67041	0.68742	324003	0	11
2018.11.18	0.68632	0.68722	0.67634	0.67725	194181	0	10
2018.11.25	0.67565	0.68855	0.67521	0.68794	213181	0	8
2018.12.02	0.69153	0.69681	0.68448	0.68576	248827	0	10
2018.12.09	0.68652	0.69100	0.67775	0.67940	243563	0	8
2018.12.16	0.67940	0.68784	0.67042	0.67065	274957	0	9
2018.12.23	0.67047	0.67446	0.66910	0.67011	168088	0	8
2018.12.30	0.67081	0.67502	0.65773	0.67326	244100	0	8
2019.01.06	0.67385	0.68423	0.67058	0.68291	236144	0	8
2019.01.13	0.68226	0.68472	0.67262	0.67421	182048	0	10
2019.01.20	0.67478	0.68491	0.67052	0.68357	236320	0	10
2019.01.27	0.68255	0.69403	0.68140	0.68889	246853	0	10
2019.02.03	0.68909	0.69044	0.67280	0.67404	210583	0	8
2019.02.10	0.67389	0.68728	0.67180	0.68610	199861	0	10
2019.02.17	0.68520	0.68918	0.67557	0.68378	223675	0	10
2019.02.24	0.68599	0.69016	0.67924	0.67944	246862	0	9
2019.03.03	0.68183	0.68261	0.67431	0.68022	236480	0	11
2019.03.10	0.67938	0.68713	0.67886	0.68454	191417	0	9
2019.03.17	0.68438	0.69369	0.68262	0.68725	237488	0	8
2019.03.24	0.68829	0.69230	0.67724	0.68032	274609	0	8
2019.03.31	0.68187	0.68358	0.67169	0.67292	198576	0	9
