<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	00:00:00	1.33593	1.33609	1.33359	1.33391	10828	9066798000	9
2015.12.01	04:00:00	1.33392	1.33526	1.33256	1.33458	16183	16086400000	9
2015.12.01	08:00:00	1.33458	1.33539	1.33092	1.33308	24021	24610383000	9
2015.12.01	12:00:00	1.33309	1.33965	1.33107	1.33789	26789	27356307000	9
2015.12.01	16:00:00	1.33790	1.33809	1.33333	1.33767	46478	49562329000	9
2015.12.01	20:00:00	1.33766	1.33874	1.33556	1.33556	29520	30502929000	6
2015.12.02	00:00:00	1.33580	1.33678	1.33531	1.33638	11075	8074200000	9
2015.12.02	04:00:00	1.33640	1.33750	1.33633	1.33732	9186	7804450000	9
2015.12.02	08:00:00	1.33733	1.33754	1.33589	1.33694	20214	21003147000	9
2015.12.02	12:00:00	1.33694	1.34059	1.33646	1.34048	25547	28170098000	9
2015.12.02	16:00:00	1.34048	1.34071	1.33077	1.33628	46530	48725676000	9
2015.12.02	20:00:00	1.33627	1.33695	1.33324	1.33411	37905	37498114000	9
2015.12.03	00:00:00	1.33353	1.33548	1.33348	1.33475	9985	8544361000	9
2015.12.03	04:00:00	1.33475	1.33528	1.32929	1.33149	15219	11008134000	9
2015.12.03	08:00:00	1.33148	1.33344	1.33118	1.33243	22358	22404881000	9
2015.12.03	12:00:00	1.33243	1.33519	1.33011	1.33201	36055	35860426000	9
2015.12.03	16:00:00	1.33201	1.33998	1.33149	1.33759	48706	53498436000	9
2015.12.03	20:00:00	1.33759	1.33811	1.33294	1.33540	37303	37088843000	9
2015.12.04	00:00:00	1.33501	1.33547	1.33358	1.33490	14351	13196750000	9
2015.12.04	04:00:00	1.33490	1.33570	1.33427	1.33543	11582	9111150000	9
2015.12.04	08:00:00	1.33543	1.33731	1.33337	1.33376	23260	21395338000	9
2015.12.04	12:00:00	1.33376	1.33958	1.33195	1.33812	32062	32668102000	9
2015.12.04	16:00:00	1.33812	1.34157	1.33172	1.33885	53113	56082021000	9
2015.12.04	20:00:00	1.33883	1.33901	1.33584	1.33601	29197	29177420000	9
2015.12.07	00:00:00	1.33685	1.33961	1.33645	1.33864	9347	7573450000	9
2015.12.07	04:00:00	1.33864	1.34000	1.33848	1.33961	11214	10534831000	9
2015.12.07	08:00:00	1.33959	1.34279	1.33914	1.34258	16584	15816483000	9
2015.12.07	12:00:00	1.34259	1.34869	1.34232	1.34848	25238	26144409000	9
2015.12.07	16:00:00	1.34848	1.35225	1.34754	1.35202	37932	39119907000	9
2015.12.07	20:00:00	1.35202	1.35233	1.34964	1.34971	24840	23432395000	9
2015.12.08	00:00:00	1.35017	1.35163	1.34956	1.35053	9030	6218348000	9
2015.12.08	04:00:00	1.35054	1.35219	1.35031	1.35187	14396	12915199000	9
2015.12.08	08:00:00	1.35187	1.35546	1.35049	1.35296	21363	23025552000	9
2015.12.08	12:00:00	1.35296	1.36207	1.35260	1.36167	33158	34487713000	9
2015.12.08	16:00:00	1.36168	1.36222	1.35480	1.35878	46017	45103625000	9
2015.12.08	20:00:00	1.35878	1.36044	1.35738	1.35845	28303	25391113000	9
2015.12.09	00:00:00	1.35834	1.35869	1.35709	1.35751	9793	7951400000	9
2015.12.09	04:00:00	1.35751	1.35845	1.35650	1.35700	9872	9475000000	9
2015.12.09	08:00:00	1.35701	1.36064	1.35561	1.35879	20812	22245232000	9
2015.12.09	12:00:00	1.35881	1.35883	1.35474	1.35765	29318	31634040000	9
2015.12.09	16:00:00	1.35766	1.36196	1.35163	1.35995	53037	56462307000	9
2015.12.09	20:00:00	1.35996	1.36017	1.35599	1.35779	36433	34771853000	9
2015.12.10	00:00:00	1.35767	1.35767	1.35527	1.35590	11708	9976382000	9
2015.12.10	04:00:00	1.35589	1.35649	1.35476	1.35573	11622	10587050000	9
2015.12.10	08:00:00	1.35574	1.35652	1.35448	1.35610	22946	23085455000	9
2015.12.10	12:00:00	1.35610	1.35740	1.35317	1.35708	33410	33750380000	9
2015.12.10	16:00:00	1.35706	1.36284	1.35579	1.36124	41749	44557308000	9
2015.12.10	20:00:00	1.36121	1.36394	1.36051	1.36242	28999	28869371000	9
2015.12.11	00:00:00	1.36229	1.36521	1.36171	1.36442	8382	6233140000	9
2015.12.11	04:00:00	1.36442	1.36590	1.36423	1.36490	8010	6333548000	9
2015.12.11	08:00:00	1.36490	1.36695	1.36310	1.36674	17584	16065943000	9
2015.12.11	12:00:00	1.36673	1.36791	1.36491	1.36700	25159	21362047000	9
2015.12.11	16:00:00	1.36700	1.37450	1.36550	1.37443	43454	41548141000	9
2015.12.11	20:00:00	1.37443	1.37576	1.37302	1.37544	25716	22349068000	9
2015.12.14	00:00:00	1.37146	1.37548	1.37146	1.37441	11049	8858460000	9
2015.12.14	04:00:00	1.37442	1.37514	1.37228	1.37244	11430	9560000000	9
2015.12.14	08:00:00	1.37244	1.37291	1.37008	1.37195	24146	19812108000	9
2015.12.14	12:00:00	1.37195	1.37804	1.36765	1.36937	40038	39414571000	9
2015.12.14	16:00:00	1.36936	1.37613	1.36766	1.37376	53229	51721731000	9
2015.12.14	20:00:00	1.37375	1.37541	1.37206	1.37287	28837	29421844000	9
2015.12.15	00:00:00	1.37251	1.37319	1.37156	1.37156	8673	7295701000	0
2015.12.15	04:00:00	1.37156	1.37175	1.36998	1.37085	9202	6469000000	9
2015.12.15	08:00:00	1.37084	1.37178	1.36847	1.36938	26771	29351077000	9
2015.12.15	12:00:00	1.36938	1.37318	1.36728	1.37113	34612	36814644000	9
2015.12.15	16:00:00	1.37113	1.37657	1.36926	1.37015	41617	40140260000	9
2015.12.15	20:00:00	1.37017	1.37460	1.37017	1.37333	30154	31202498000	9
2015.12.16	00:00:00	1.37314	1.37418	1.37278	1.37385	6271	4510790000	9
2015.12.16	04:00:00	1.37383	1.37401	1.37295	1.37325	5211	3189200000	9
2015.12.16	08:00:00	1.37325	1.37749	1.37318	1.37671	20708	19543617000	9
2015.12.16	12:00:00	1.37671	1.37781	1.37427	1.37726	25520	26899054000	9
2015.12.16	16:00:00	1.37727	1.38472	1.37641	1.37877	41034	39546524000	9
2015.12.16	20:00:00	1.37877	1.38422	1.37415	1.37789	47330	40305077000	9
2015.12.17	00:00:00	1.37784	1.38151	1.37773	1.38151	11202	7466730000	0
2015.12.17	04:00:00	1.38149	1.38152	1.37930	1.38006	12525	9107600000	9
2015.12.17	08:00:00	1.38006	1.38188	1.37876	1.38108	22197	21056059000	9
2015.12.17	12:00:00	1.38108	1.38445	1.38038	1.38288	22369	22873418000	9
2015.12.17	16:00:00	1.38289	1.39862	1.38152	1.39546	46307	41281452000	9
2015.12.17	20:00:00	1.39546	1.39695	1.39361	1.39364	27345	26341898000	9
2015.12.18	00:00:00	1.39337	1.39530	1.39252	1.39449	9792	6085500000	0
2015.12.18	04:00:00	1.39445	1.39621	1.39228	1.39233	15102	12520500000	9
2015.12.18	08:00:00	1.39234	1.39297	1.39062	1.39240	21223	20333485000	9
2015.12.18	12:00:00	1.39240	1.40010	1.39235	1.39679	27058	28007779000	9
2015.12.18	16:00:00	1.39681	1.39795	1.38541	1.39217	39786	37091233000	9
2015.12.18	20:00:00	1.39215	1.39578	1.39177	1.39524	25268	20864607000	9
2015.12.21	00:00:00	1.39328	1.39622	1.39265	1.39427	8172	6969090000	0
2015.12.21	04:00:00	1.39428	1.39467	1.39221	1.39276	11167	9187800000	9
2015.12.21	08:00:00	1.39275	1.39327	1.39125	1.39266	18414	16330399000	9
2015.12.21	12:00:00	1.39267	1.39691	1.39165	1.39295	24712	23475461000	9
2015.12.21	16:00:00	1.39296	1.39933	1.39226	1.39768	38795	34588744000	9
2015.12.21	20:00:00	1.39768	1.39800	1.39474	1.39569	24646	20992842000	9
2015.12.22	00:00:00	1.39537	1.39643	1.39494	1.39519	6466	5148110000	0
2015.12.22	04:00:00	1.39522	1.39545	1.39298	1.39392	8016	5715800000	9
2015.12.22	08:00:00	1.39389	1.39489	1.39270	1.39421	22029	22913800000	9
2015.12.22	12:00:00	1.39421	1.39470	1.39155	1.39402	23307	22402298000	9
2015.12.22	16:00:00	1.39398	1.39543	1.39199	1.39357	29025	27373744000	9
2015.12.22	20:00:00	1.39359	1.39456	1.39190	1.39196	18012	19961982000	9
2015.12.23	00:00:00	1.39209	1.39232	1.39098	1.39189	4554	2880100000	0
2015.12.23	04:00:00	1.39189	1.39223	1.39138	1.39184	5171	3830450000	9
2015.12.23	08:00:00	1.39184	1.39340	1.39059	1.39213	16795	15705994000	9
2015.12.23	12:00:00	1.39212	1.39365	1.38961	1.39203	21581	21348941000	9
2015.12.23	16:00:00	1.39201	1.39279	1.38352	1.38479	31845	28879184000	9
2015.12.23	20:00:00	1.38474	1.38713	1.38424	1.38538	23314	20411111000	9
2015.12.24	00:00:00	1.38452	1.38593	1.38416	1.38492	6618	4742850000	5
2015.12.24	04:00:00	1.38493	1.38567	1.38414	1.38546	5147	3900650000	8
2015.12.24	08:00:00	1.38546	1.38624	1.38407	1.38560	14242	15460049000	7
2015.12.24	12:00:00	1.38560	1.38740	1.38464	1.38538	13907	13544595000	9
2015.12.24	16:00:00	1.38540	1.38676	1.38176	1.38449	19910	13438148000	9
2015.12.28	00:00:00	1.38255	1.38455	1.38129	1.38400	10462	8705049000	0
2015.12.28	04:00:00	1.38400	1.38459	1.38320	1.38423	5397	3879300000	9
2015.12.28	08:00:00	1.38422	1.38723	1.38415	1.38703	11129	7786047000	9
2015.12.28	12:00:00	1.38703	1.38896	1.38681	1.38831	15768	15504609000	9
2015.12.28	16:00:00	1.38831	1.39152	1.38764	1.39008	25316	24527681000	0
2015.12.28	20:00:00	1.39008	1.39059	1.38909	1.39039	11612	9076850000	9
2015.12.29	00:00:00	1.39008	1.39052	1.38767	1.38769	7633	5857537000	9
2015.12.29	04:00:00	1.38771	1.38781	1.38691	1.38757	4379	3046800000	9
2015.12.29	08:00:00	1.38756	1.39112	1.38650	1.39112	13062	11256500000	9
2015.12.29	12:00:00	1.39111	1.39396	1.38794	1.38805	16995	16202514000	9
2015.12.29	16:00:00	1.38805	1.38895	1.38263	1.38355	31199	27150292000	9
2015.12.29	20:00:00	1.38345	1.38507	1.38155	1.38428	18653	13605374000	9
2015.12.30	00:00:00	1.38401	1.38559	1.38287	1.38522	6131	2947300000	9
2015.12.30	04:00:00	1.38521	1.38533	1.38396	1.38463	8576	4661650000	9
2015.12.30	08:00:00	1.38463	1.38692	1.38412	1.38535	17028	13299250000	9
2015.12.30	12:00:00	1.38535	1.39173	1.38502	1.38997	19292	18328019000	9
2015.12.30	16:00:00	1.39000	1.39268	1.38748	1.38875	33671	28400247000	9
2015.12.30	20:00:00	1.38875	1.39024	1.38736	1.38779	21029	17629756000	0
2015.12.31	00:00:00	1.38745	1.38870	1.38640	1.38683	9729	9415280000	9
2015.12.31	04:00:00	1.38683	1.38776	1.38663	1.38746	3595	2491350000	9
2015.12.31	08:00:00	1.38746	1.39015	1.38712	1.38813	12047	11164556000	9
2015.12.31	12:00:00	1.38817	1.38994	1.38589	1.38808	22362	18357430000	9
2015.12.31	16:00:00	1.38805	1.39025	1.38222	1.38268	23875	21590311000	0
2015.12.31	20:00:00	1.38289	1.38292	1.38271	1.38273	68	100000000	21
2016.01.04	00:00:00	1.38132	1.39093	1.38132	1.39077	11341	9083800000	9
2016.01.04	04:00:00	1.39077	1.39185	1.38828	1.38951	13484	9391500000	9
2016.01.04	08:00:00	1.38951	1.39387	1.38928	1.39047	24731	20017887000	9
2016.01.04	12:00:00	1.39047	1.39282	1.38855	1.39062	28202	24163026000	9
2016.01.04	16:00:00	1.39075	1.39827	1.38716	1.39596	39457	38587682000	9
2016.01.04	20:00:00	1.39596	1.39610	1.39322	1.39504	19971	18125783000	9
2016.01.05	00:00:00	1.39487	1.39523	1.39147	1.39155	9273	6975552000	9
2016.01.05	04:00:00	1.39153	1.39198	1.38976	1.39160	8717	7466300000	9
2016.01.05	08:00:00	1.39160	1.39378	1.39054	1.39327	20941	19431224000	9
2016.01.05	12:00:00	1.39328	1.39488	1.39184	1.39245	25650	27315371000	9
2016.01.05	16:00:00	1.39247	1.40186	1.39212	1.40000	40998	40154143000	0
2016.01.05	20:00:00	1.40000	1.40126	1.39758	1.39947	21542	23176894000	9
2016.01.06	00:00:00	1.39912	1.40152	1.39728	1.40106	11230	9050076000	9
2016.01.06	04:00:00	1.40106	1.40391	1.40095	1.40369	12695	10483402000	9
2016.01.06	08:00:00	1.40368	1.40943	1.40280	1.40770	25740	23825427000	9
2016.01.06	12:00:00	1.40771	1.41083	1.40519	1.40593	31660	28970353000	9
2016.01.06	16:00:00	1.40594	1.41030	1.40476	1.40908	41850	36236418000	9
2016.01.06	20:00:00	1.40907	1.41038	1.40720	1.40743	26280	22478920000	0
2016.01.07	00:00:00	1.40744	1.41028	1.40647	1.40942	13933	10270396000	0
2016.01.07	04:00:00	1.40944	1.41234	1.40915	1.41154	18833	13637994000	9
2016.01.07	08:00:00	1.41152	1.41561	1.41082	1.41123	33476	29080856000	9
2016.01.07	12:00:00	1.41125	1.41693	1.41065	1.41130	38535	33664789000	9
2016.01.07	16:00:00	1.41130	1.41170	1.40500	1.40591	45425	36201777000	9
2016.01.07	20:00:00	1.40590	1.41157	1.40575	1.41132	27371	22528425000	0
2016.01.08	00:00:00	1.41081	1.41219	1.40579	1.40688	17005	10271241000	9
2016.01.08	04:00:00	1.40687	1.40875	1.40667	1.40828	10704	9284600000	9
2016.01.08	08:00:00	1.40828	1.41173	1.40714	1.41062	23403	22190827000	9
2016.01.08	12:00:00	1.41062	1.41265	1.40740	1.40891	32643	30956113000	9
2016.01.08	16:00:00	1.40892	1.41638	1.40841	1.41121	47576	42663472000	9
2016.01.08	20:00:00	1.41122	1.41766	1.41068	1.41711	24589	21704144000	9
2016.01.11	00:00:00	1.41640	1.41880	1.41537	1.41748	9636	6656600000	2
2016.01.11	04:00:00	1.41748	1.41770	1.41523	1.41653	10074	6730990000	1
2016.01.11	08:00:00	1.41653	1.41754	1.41137	1.41153	23197	21479460000	9
2016.01.11	12:00:00	1.41155	1.41316	1.40646	1.40863	27424	26804825000	9
2016.01.11	16:00:00	1.40865	1.42450	1.40822	1.42350	39160	38223638000	9
2016.01.11	20:00:00	1.42349	1.42445	1.42049	1.42134	27740	28169578000	9
2016.01.12	00:00:00	1.42084	1.42310	1.42032	1.42117	12626	9019045000	9
2016.01.12	04:00:00	1.42116	1.42470	1.42101	1.42430	11490	9578200000	9
2016.01.12	08:00:00	1.42433	1.42686	1.42214	1.42231	26059	23850077000	9
2016.01.12	12:00:00	1.42231	1.42298	1.41759	1.41834	29965	30114810000	9
2016.01.12	16:00:00	1.41835	1.43149	1.41797	1.42916	44563	40132688000	9
2016.01.12	20:00:00	1.42917	1.42969	1.42540	1.42600	29648	28664251000	0
2016.01.13	00:00:00	1.42596	1.42750	1.42306	1.42321	15402	9301992000	9
2016.01.13	04:00:00	1.42320	1.42485	1.42150	1.42421	13783	13424800000	9
2016.01.13	08:00:00	1.42420	1.42634	1.41870	1.42095	25871	23939831000	9
2016.01.13	12:00:00	1.42094	1.42369	1.42017	1.42255	24962	23705081000	9
2016.01.13	16:00:00	1.42256	1.43062	1.42071	1.42988	42853	40711927000	9
2016.01.13	20:00:00	1.42993	1.43797	1.42970	1.43395	32617	30654563000	9
2016.01.14	00:00:00	1.43366	1.43820	1.43346	1.43691	17056	13738150000	9
2016.01.14	04:00:00	1.43689	1.43780	1.43557	1.43594	15199	14757836000	9
2016.01.14	08:00:00	1.43593	1.43972	1.43381	1.43654	28365	25136822000	9
2016.01.14	12:00:00	1.43653	1.43957	1.43344	1.43599	32268	31415668000	9
