<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.01	1.33593	1.40010	1.32929	1.38273	2843752	2686789644000	0
2016.01.01	1.38132	1.46895	1.38132	1.39703	3422512	3200804418000	0
2016.02.01	1.39681	1.41025	1.34809	1.35367	3718731	3374868367000	0
2016.03.01	1.35357	1.35511	1.28571	1.30042	3101481	3011381885000	0
2016.04.01	1.30009	1.32184	1.24980	1.25495	3227154	3288458730000	0
2016.05.01	1.25526	1.31877	1.24606	1.30903	2938443	3200650771000	0
2016.06.01	1.30913	1.31435	1.26544	1.29240	3018996	3199801213000	0
2016.07.01	1.29254	1.32534	1.28312	1.30373	2635642	2724106361000	0
2016.08.01	1.30238	1.32000	1.27633	1.31040	2562286	2266933969000	0
2016.09.01	1.31047	1.32804	1.28220	1.31237	3045222	2504659735000	0
2016.10.01	1.31053	1.34330	1.30053	1.34119	2770342	2130813727000	0
2016.11.01	1.34122	1.35883	1.32632	1.34364	3471584	2837509265000	0
2016.12.01	1.34370	1.35980	1.30798	1.34296	2722504	1958101877000	0
2017.01.01	1.34205	1.34602	1.29682	1.30285	3407581	2389465064000	0
2017.02.01	1.30249	1.33137	1.29799	1.32999	2342870	1812830185000	0
2017.03.01	1.32905	1.35345	1.32632	1.33152	2423932	1947615138000	0
2017.04.01	1.33000	1.36967	1.32229	1.36387	1787339	1509162825000	0
2017.05.01	1.36537	1.37933	1.33870	1.35000	2169470	2103142655000	0
2017.06.01	1.35003	1.35468	1.29455	1.29623	1739526	150276821000	0
2017.07.01	1.29638	1.30141	1.24135	1.24778	1635251	0	9
2017.08.01	1.24778	1.27777	1.24409	1.24783	1806314	0	9
2017.09.01	1.24783	1.25325	1.20611	1.24593	1632273	1035222000	0
2017.10.01	1.24845	1.29165	1.24329	1.28875	1399177	0	0
2017.11.01	1.28854	1.29103	1.26659	1.28956	1388456	0	0
2017.12.01	1.28956	1.29198	1.25146	1.25701	1748547	0	0
2018.01.01	1.25333	1.25903	1.22486	1.23130	3041149	0	1
2018.02.01	1.23120	1.28413	1.22553	1.28282	2851917	0	1
2018.03.01	1.28275	1.31245	1.28032	1.28948	2932133	0	1
2018.04.01	1.28870	1.29434	1.25271	1.28420	1398036	0	1
2018.05.01	1.28420	1.30467	1.27291	1.29558	1829155	0	1
2018.06.01	1.29560	1.33860	1.28558	1.31342	1687513	0	0
2018.07.01	1.31391	1.32896	1.29807	1.30059	1476765	0	0
2018.08.01	1.30069	1.31737	1.28865	1.30389	1231936	0	4
2018.09.01	1.30744	1.32254	1.28836	1.29073	1015980	0	4
2018.10.01	1.28483	1.31691	1.27814	1.31580	1377406	0	4
2018.11.01	1.31580	1.33589	1.30476	1.32895	1350570	0	4
2018.12.01	1.32350	1.36639	1.31592	1.36466	1352045	0	4
2019.01.01	1.36470	1.36614	1.31176	1.31217	1343343	0	4
2019.02.01	1.31221	1.33395	1.30677	1.31692	1026674	0	4
2019.03.01	1.31742	1.34666	1.31290	1.33498	1254987	0	4
2019.04.01	1.33453	1.35209	1.32736	1.33868	1085251	0	5
2019.05.01	1.33885	1.35639	1.33564	1.35146	1212753	0	4
2019.06.01	1.35188	1.35267	1.30587	1.30878	1043127	0	4
2019.07.01	1.30810	1.32143	1.30160	1.31896	886418	0	1
2019.08.01	1.31895	1.33455	1.31773	1.33046	1472815	0	0
2019.09.01	1.33131	1.33825	1.31335	1.32396	1026393	0	0
2019.10.01	1.32396	1.33476	1.30420	1.31638	874755	0	0
2019.11.01	1.31638	1.33274	1.31151	1.32736	512689	0	0
2019.12.01	1.32701	1.33208	1.29511	1.29843	492756	0	0
2020.01.01	1.29868	1.32528	1.29569	1.32282	592972	0	0
2020.02.01	1.32351	1.34642	1.32018	1.33961	693869	0	0
2020.03.01	1.34345	1.46674	1.33148	1.40595	2426388	0	0
2020.04.01	1.40595	1.42979	1.38498	1.39432	2507343	0	0
2020.05.01	1.39427	1.41729	1.37142	1.37622	1181235	0	0
2020.06.01	1.37730	1.38005	1.33151	1.35739	1688617	0	0
2020.07.01	1.35760	1.36459	1.33310	1.34154	1036094	0	0
2020.08.01	1.34002	1.34509	1.30199	1.30466	928619	0	0
2020.09.01	1.30456	1.34201	1.29939	1.33157	1100952	0	0
2020.10.01	1.33183	1.33896	1.30807	1.33251	1051506	0	0
2020.11.01	1.33090	1.33700	1.29231	1.29967	1103206	0	0
2020.12.01	1.29968	1.30078	1.26881	1.27221	1315274	0	0
2021.01.01	1.27198	1.28813	1.25889	1.27811	1685639	0	0
2021.02.01	1.27840	1.28697	1.24677	1.27324	1686445	0	0
2021.03.01	1.27262	1.27372	1.23648	1.25612	2053942	0	0
2021.04.01	1.25618	1.26541	1.22661	1.22945	1071415	0	0
2021.05.01	1.22833	1.23513	1.20128	1.20621	1010319	0	0
2021.06.01	1.20621	1.24867	1.20066	1.23970	1143478	0	0
2021.07.01	1.23948	1.28068	1.23021	1.24639	1294750	0	2
2021.08.01	1.24741	1.29487	1.24527	1.26149	1048830	0	2
2021.09.01	1.26137	1.28958	1.24934	1.26804	1525168	0	0
2021.10.01	1.26767	1.27386	1.22878	1.23826	1261489	0	0
2021.11.01	1.23753	1.28371	1.23519	1.27780	1369012	0	0
2021.12.01	1.27752	1.29641	1.26078	1.26439	1424688	0	0
2022.01.01	1.26347	1.28133	1.24498	1.27058	1556763	0	0
2022.02.01	1.27030	1.28774	1.26357	1.26738	1858467	0	0
2022.03.01	1.26698	1.29006	1.24293	1.25048	1968832	0	0
2022.04.01	1.25011	1.28801	1.24027	1.28548	1570083	0	0
2022.05.01	1.28241	1.30769	1.26293	1.26459	2368259	0	0
2022.06.01	1.26451	1.30786	1.25178	1.28717	2641395	0	0
2022.07.01	1.28717	1.32236	1.27886	1.27971	2566642	0	0
2022.08.01	1.27941	1.31408	1.27276	1.31302	2248113	0	0
2022.09.01	1.31296	1.38348	1.29538	1.38345	2273865	0	0
2022.10.01	1.38026	1.39771	1.34951	1.36185	2671960	0	0
2022.11.01	1.36182	1.38081	1.32258	1.34122	2591435	0	0
2022.12.01	1.34148	1.37050	1.33849	1.35489	1738052	0	0
2023.01.01	1.35521	1.36851	1.32988	1.33045	1634970	0	0
2023.02.01	1.33037	1.36649	1.32623	1.36468	1896208	0	0
2023.03.01	1.36435	1.38618	1.35074	1.35134	2335142	0	0
2023.04.01	1.34889	1.36678	1.33006	1.35429	1369073	0	0
2023.05.01	1.35321	1.36545	1.33148	1.35708	1866666	0	0
2023.06.01	1.35726	1.35850	1.31164	1.32444	1768432	0	0
2023.07.01	1.32369	1.33869	1.30924	1.31874	1436499	0	0
2023.08.01	1.31831	1.36398	1.31780	1.35080	1674991	0	0
2023.09.01	1.35080	1.36944	1.33796	1.35767	1257435	0	0
2023.10.01	1.35676	1.38917	1.35508	1.38713	2202773	0	0
2023.11.01	1.38707	1.38987	1.35407	1.35583	1199658	0	0
2023.12.01	1.35577	1.36193	1.31770	1.32472	1026561	0	0
2024.01.01	1.32490	1.35416	1.32222	1.34328	1595761	0	0
2024.02.01	1.34332	1.36058	1.33656	1.35755	1460385	0	0
2024.03.01	1.35778	1.36140	1.34197	1.35364	933351	0	0
2024.04.01	1.35296	1.38457	1.34779	1.37769	851032	0	0
2024.05.01	1.37755	1.37830	1.35901	1.36260	657982	0	0
2024.06.01	1.36310	1.37918	1.36027	1.36769	659114	0	0
2024.07.01	1.36710	1.38649	1.35886	1.38070	740131	0	0
2024.08.01	1.38066	1.39465	1.34362	1.34922	844409	0	0
2024.09.01	1.34838	1.36475	1.34194	1.35243	879386	0	0
2024.10.01	1.35223	1.39452	1.34723	1.39294	873921	0	0
2024.11.01	1.39288	1.41777	1.38151	1.39958	838968	0	1
2024.12.01	1.39910	1.44668	1.39866	1.43770	756122	0	0
2025.01.01	1.43750	1.45935	1.42611	1.45370	930356	0	0
2025.02.01	1.47351	1.47921	1.41509	1.44627	847602	0	0
2025.03.01	1.44383	1.45429	1.42340	1.43838	1115780	0	0
2025.04.01	1.43779	1.44141	1.37690	1.37971	2020686	0	1
2025.05.01	1.37868	1.40151	1.36848	1.37373	1093118	0	0
2025.06.01	1.37430	1.37969	1.35390	1.36016	1103377	0	2
2025.07.01	1.36047	1.38573	1.35553	1.38485	982465	0	1
2025.08.01	1.38523	1.39237	1.37206	1.37367	785119	0	0
2025.09.01	1.37248	1.39585	1.37238	1.39188	592012	0	0
2025.10.01	1.39172	1.40798	1.38879	1.40056	576993	0	0
2025.11.01	1.39997	1.41403	1.39379	1.39701	567075	0	0
2025.12.01	1.39707	1.40145	1.36424	1.37242	538638	0	0
2026.01.01	1.37214	1.37476	1.37003	1.37278	25177	0	0
