<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.12.06	1.33685	1.37576	1.33645	1.37544	715426	697020690000	9
2015.12.13	1.37146	1.40010	1.36728	1.39524	746006	697086417000	0
2015.12.20	1.39328	1.39933	1.38176	1.38449	395845	359202142000	0
2015.12.27	1.38255	1.39396	1.38129	1.38273	349008	294983702000	0
2016.01.03	1.38132	1.41766	1.38132	1.41711	747255	657388392000	0
2016.01.10	1.41640	1.45532	1.40646	1.45357	768299	708970590000	0
2016.01.17	1.45901	1.46895	1.41142	1.41211	926989	898009334000	0
2016.01.24	1.41409	1.43252	1.39476	1.39703	979969	936436102000	0
2016.01.31	1.39681	1.41025	1.36388	1.39139	910026	830126414000	7
2016.02.07	1.38975	1.40159	1.37861	1.38443	978861	943868009000	0
2016.02.14	1.38474	1.39111	1.36531	1.37603	823080	695718748000	0
2016.02.21	1.37745	1.38588	1.35047	1.35112	838845	748706760000	0
2016.02.28	1.35104	1.35869	1.33110	1.33120	775037	762378171000	0
2016.03.06	1.33315	1.34459	1.31670	1.32130	677089	634810855000	0
2016.03.13	1.32275	1.34051	1.29228	1.30029	669080	633717971000	0
2016.03.20	1.30249	1.32957	1.30188	1.32601	570361	538355449000	0
2016.03.27	1.32679	1.32845	1.28571	1.30118	736748	770378953000	0
2016.04.03	1.30222	1.32184	1.29516	1.29700	782070	817412766000	0
2016.04.10	1.29800	1.30155	1.27442	1.28148	771871	774206137000	0
2016.04.17	1.29459	1.29894	1.25926	1.26715	769945	773217733000	0
2016.04.24	1.26518	1.27170	1.24980	1.25495	744353	751811016000	0
2016.05.01	1.25526	1.29515	1.24606	1.28986	804134	887253927000	0
2016.05.08	1.29436	1.30150	1.27711	1.29354	678575	762074602000	0
2016.05.15	1.29384	1.31618	1.28367	1.31087	659866	734711196000	0
2016.05.22	1.31138	1.31877	1.29104	1.30258	575947	582266688000	0
2016.05.29	1.30250	1.31435	1.29150	1.29358	626810	677842145000	0
2016.06.05	1.29342	1.29819	1.26544	1.27756	650501	712177666000	0
2016.06.12	1.27869	1.30853	1.27497	1.28846	706203	762649265000	0
2016.06.19	1.28901	1.30988	1.26778	1.30007	652735	673774654000	0
2016.06.26	1.30310	1.31194	1.28648	1.29095	719522	719745127000	0
2016.07.03	1.29069	1.30898	1.28312	1.30429	688514	684627116000	0
2016.07.10	1.30413	1.31392	1.28608	1.29725	696373	731953990000	0
2016.07.17	1.29358	1.31850	1.29265	1.31281	574455	664960042000	0
2016.07.24	1.31270	1.32534	1.30013	1.30373	559446	530521927000	0
2016.07.31	1.30238	1.32000	1.29956	1.31709	527807	420603365000	0
2016.08.07	1.31749	1.31896	1.29237	1.29552	550096	540744989000	0
2016.08.14	1.29440	1.29749	1.27633	1.28642	574662	517298250000	0
2016.08.21	1.28800	1.30113	1.28307	1.29987	553224	491954398000	0
2016.08.28	1.29912	1.31477	1.29788	1.29788	613877	505627303000	0
2016.09.04	1.29842	1.30525	1.28220	1.30377	587718	453166170000	0
2016.09.11	1.30466	1.32476	1.30289	1.32109	723889	585699170000	0
2016.09.18	1.32162	1.32425	1.29998	1.31626	714781	639218546000	0
2016.09.25	1.31550	1.32804	1.30478	1.31237	761454	617281513000	0
2016.10.02	1.31053	1.33128	1.30675	1.32945	708902	557526091000	0
2016.10.09	1.32391	1.33064	1.31030	1.31298	684575	539609130000	0
2016.10.16	1.31138	1.33545	1.30053	1.33220	599361	459301124000	0
2016.10.23	1.33252	1.34330	1.32774	1.33864	654721	480332138000	0
2016.10.30	1.34093	1.34650	1.33528	1.33955	683377	545720217000	0
2016.11.06	1.33402	1.35477	1.32632	1.35395	901149	727151552000	0
2016.11.13	1.35006	1.35883	1.33995	1.34932	850729	718075511000	0
2016.11.20	1.34948	1.35349	1.33775	1.35067	697697	576798665000	0
2016.11.27	1.34938	1.35367	1.32543	1.32800	725702	547182797000	0
2016.12.04	1.32837	1.33553	1.31520	1.31705	572784	373923053000	0
2016.12.11	1.31456	1.34170	1.30798	1.33296	764245	516000612000	0
2016.12.18	1.33325	1.35565	1.33169	1.35241	595615	468542712000	0
2016.12.25	1.35200	1.35980	1.31757	1.34296	525573	416261267000	0
2017.01.01	1.34205	1.34602	1.31769	1.32346	731829	566331218000	0
2017.01.08	1.32394	1.32939	1.30290	1.31110	796448	549163493000	0
2017.01.15	1.31301	1.33871	1.30181	1.33122	802866	547949988000	0
2017.01.22	1.33139	1.33345	1.30529	1.31496	752599	499911150000	0
2017.01.29	1.31296	1.31687	1.29682	1.30208	789405	562270752000	0
2017.02.05	1.30236	1.32116	1.30066	1.30730	636699	476761052000	0
2017.02.12	1.30808	1.31259	1.30087	1.30824	570682	445752938000	0
2017.02.19	1.30914	1.32093	1.30556	1.30876	464891	387157184000	0
2017.02.26	1.30957	1.34366	1.30830	1.33680	545571	451825215000	0
2017.03.05	1.33681	1.35345	1.33681	1.34689	563560	447373396000	0
2017.03.12	1.34554	1.34950	1.32758	1.33412	532103	425324723000	0
2017.03.19	1.33446	1.34089	1.32632	1.33765	513553	418793176000	0
2017.03.26	1.33537	1.34140	1.32771	1.33152	474177	371296102000	0
2017.04.02	1.33000	1.34554	1.32945	1.33939	448009	373105361000	0
2017.04.09	1.33948	1.34259	1.32229	1.33171	412363	340360316000	0
2017.04.16	1.33099	1.35250	1.32617	1.34831	422943	349100326000	0
2017.04.23	1.34565	1.36967	1.34104	1.36387	504024	446596822000	0
2017.04.30	1.36537	1.37933	1.36365	1.36644	471205	452959943000	0
2017.05.07	1.36523	1.37699	1.36431	1.37036	504506	500256926000	0
2017.05.14	1.36950	1.37221	1.35049	1.35049	538527	535672198000	0
2017.05.21	1.35134	1.35402	1.33870	1.34345	454617	424741839000	0
2017.05.28	1.34361	1.35468	1.34271	1.34743	370328	339788570000	0
2017.06.04	1.34824	1.35358	1.34221	1.34621	380602	0	9
2017.06.11	1.34540	1.34701	1.31644	1.32049	422215	0	9
2017.06.18	1.32106	1.33470	1.31908	1.32615	354720	0	9
2017.06.25	1.32585	1.32701	1.29455	1.29623	412276	0	9
2017.07.02	1.29638	1.30141	1.28593	1.28677	340846	0	9
2017.07.09	1.28750	1.29430	1.26437	1.26477	366179	0	9
2017.07.16	1.26438	1.27008	1.25218	1.25392	391150	0	9
2017.07.23	1.25323	1.25761	1.24135	1.24304	445665	0	9
2017.07.30	1.24262	1.26677	1.24215	1.26494	433617	0	9
2017.08.06	1.26541	1.27524	1.26290	1.26724	432167	0	9
2017.08.13	1.26683	1.27777	1.25566	1.25763	390231	0	9
2017.08.20	1.25634	1.26066	1.24652	1.24721	344570	0	9
2017.08.27	1.24752	1.26629	1.23392	1.23908	385591	0	9
2017.09.03	1.24008	1.24259	1.20611	1.21554	412648	0	9
2017.09.10	1.21503	1.22394	1.20821	1.21886	371949	1035222000	0
2017.09.17	1.21872	1.23901	1.21713	1.23372	357121	0	0
2017.09.24	1.23298	1.25325	1.23127	1.24593	402104	0	0
2017.10.01	1.24845	1.25992	1.24486	1.25314	324864	0	0
2017.10.08	1.25294	1.25588	1.24329	1.24628	291382	0	0
2017.10.15	1.24712	1.26302	1.24506	1.26246	327873	0	0
2017.10.22	1.26160	1.29165	1.26135	1.28076	341352	0	0
2017.10.29	1.28163	1.29146	1.27151	1.27620	296755	0	0
2017.11.05	1.27555	1.28195	1.26659	1.26885	269142	0	0
2017.11.12	1.26707	1.28235	1.26707	1.27617	325509	0	0
2017.11.19	1.27639	1.28366	1.26728	1.27034	334254	0	0
2017.11.26	1.27015	1.29095	1.26801	1.26803	368568	0	0
2017.12.03	1.26934	1.28800	1.26238	1.28474	369192	0	0
2017.12.10	1.28480	1.28943	1.27138	1.28639	444066	0	0
2017.12.17	1.28659	1.29198	1.26975	1.27262	533296	0	2
2017.12.24	1.27185	1.27277	1.25146	1.25701	309927	0	2
