<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.08.03	00:00:00	123.866	124.113	123.864	124.023	11090	11942908000	7
2015.08.03	04:00:00	124.023	124.044	123.923	124.019	14559	17466505000	4
2015.08.03	08:00:00	124.018	124.198	123.976	124.164	21662	31402221000	4
2015.08.03	12:00:00	124.162	124.267	124.094	124.196	25242	40811172000	9
2015.08.03	16:00:00	124.195	124.227	123.858	123.864	33450	54365554000	9
2015.08.03	20:00:00	123.864	124.026	123.852	124.026	15608	26862011000	4
2015.08.04	00:00:00	124.017	124.085	123.909	124.026	13993	13269393000	9
2015.08.04	04:00:00	124.026	124.106	123.938	123.991	15681	16847626000	9
2015.08.04	08:00:00	123.991	124.063	123.797	123.963	26614	35579152000	9
2015.08.04	12:00:00	123.963	124.038	123.897	123.973	24097	35712042000	9
2015.08.04	16:00:00	123.974	124.086	123.877	123.964	29856	44348243000	9
2015.08.04	20:00:00	123.965	124.398	123.928	124.371	24620	36016129000	4
2015.08.05	00:00:00	124.372	124.397	124.266	124.313	14793	13222783000	7
2015.08.05	04:00:00	124.312	124.473	124.300	124.383	15639	17432519000	9
2015.08.05	08:00:00	124.383	124.428	124.312	124.384	22542	31963833000	9
2015.08.05	12:00:00	124.384	124.447	124.014	124.272	26860	41100047000	9
2015.08.05	16:00:00	124.272	125.009	124.261	124.885	38130	47734966000	9
2015.08.05	20:00:00	124.884	124.898	124.722	124.842	16350	21480183000	9
2015.08.06	00:00:00	124.836	124.881	124.730	124.810	13793	12141861000	9
2015.08.06	04:00:00	124.809	124.861	124.694	124.790	14326	17008698000	5
2015.08.06	08:00:00	124.793	124.913	124.710	124.860	20997	29123828000	9
2015.08.06	12:00:00	124.860	124.959	124.762	124.916	27093	42387959000	9
2015.08.06	16:00:00	124.914	124.924	124.538	124.595	28777	45563020000	9
2015.08.06	20:00:00	124.596	124.773	124.585	124.722	15030	22739967000	9
2015.08.07	00:00:00	124.708	124.758	124.662	124.721	11293	12090585000	9
2015.08.07	04:00:00	124.719	124.836	124.712	124.790	13561	15763382000	6
2015.08.07	08:00:00	124.792	124.852	124.708	124.772	15616	21427054000	5
2015.08.07	12:00:00	124.772	125.064	124.307	125.024	21335	29886067000	9
2015.08.07	16:00:00	125.024	125.030	124.100	124.250	31384	37988575000	8
2015.08.07	20:00:00	124.250	124.272	124.116	124.203	8959	9680064000	9
2015.08.10	00:00:00	124.145	124.412	124.145	124.388	6556	5700080000	5
2015.08.10	04:00:00	124.388	124.407	124.275	124.381	8957	8718339000	6
