<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.08.01	123.866	125.276	116.131	121.215	3071131	3555112752000	3
2015.09.01	121.191	121.326	118.591	119.872	3837339	4666331211000	4
2015.10.01	119.871	121.485	118.058	120.603	3012755	4090837905000	0
2015.11.01	120.385	123.751	120.252	123.100	2475118	3396417474000	0
2015.12.01	123.100	123.667	119.999	120.207	2612167	3027191449000	0
2016.01.01	120.196	121.686	115.970	121.119	3718872	3795381303000	0
2016.02.01	121.314	121.482	110.979	112.669	4195717	4057560646000	0
2016.03.01	112.666	114.550	110.664	112.571	3110296	3598153749000	0
2016.04.01	112.549	112.580	106.274	106.334	2987784	3852503691000	0
2016.05.01	106.223	111.445	105.545	110.707	2779127	3642722460000	0
2016.06.01	110.707	110.827	98.935	103.176	3743799	5074103811000	0
2016.07.01	103.190	107.488	99.988	102.040	3347531	4721397051000	0
2016.08.01	102.212	103.528	99.536	103.414	2773697	3139567023000	0
2016.09.01	103.410	104.316	100.081	101.322	3006085	3101220245000	0
2016.10.01	101.208	105.528	101.125	104.761	2610509	2303890116000	0
2016.11.01	104.760	114.534	101.186	114.444	4137941	3395450253000	0
2016.12.01	114.406	118.659	112.859	116.814	3138770	2134848959000	0
2017.01.01	116.780	118.602	112.076	112.784	4078085	3387987380000	0
2017.02.01	112.771	114.953	111.588	112.752	3036675	3035094295000	0
2017.03.01	112.733	115.500	110.106	111.264	3407014	3312452482000	0
2017.04.01	111.355	111.774	108.129	111.528	2738639	2692717396000	0
2017.05.01	111.207	114.365	110.231	110.777	2812495	2870361375000	0
2017.06.01	110.777	112.922	108.805	112.361	2231756	232847827000	0
2017.07.01	112.112	114.490	110.210	110.253	2373389	0	9
2017.08.01	110.243	111.046	108.264	109.955	2823889	0	9
2017.09.01	109.978	113.256	107.314	112.445	2447103	1867893000	0
2017.10.01	112.505	114.451	111.653	113.634	2156623	0	0
2017.11.01	113.629	114.734	110.841	112.527	2208538	0	0
2017.12.01	112.527	113.750	111.401	112.695	2340170	0	0
2018.01.01	112.503	113.386	108.282	109.185	3536296	0	1
2018.02.01	109.184	110.482	105.545	106.662	4383927	0	1
2018.03.01	106.662	107.292	104.628	106.279	3590976	0	0
2018.04.01	106.165	109.536	105.656	109.327	1668456	0	1
2018.05.01	109.341	111.395	108.111	108.802	1918883	0	0
2018.06.01	108.802	110.943	108.720	110.756	1591622	0	0
2018.07.01	110.585	113.167	110.275	111.862	1765933	0	0
2018.08.01	111.814	112.147	109.770	111.089	1368137	0	3
2018.09.01	111.051	113.703	110.376	113.671	1084869	0	3
2018.10.01	113.696	114.546	111.374	112.928	2042765	0	3
2018.11.01	112.928	114.203	112.300	113.471	1436578	0	3
2018.12.01	113.689	113.817	109.553	109.603	1808469	0	3
2019.01.01	109.424	109.995	104.720	108.853	1782646	0	3
2019.02.01	108.851	111.490	108.720	111.373	1158947	0	3
2019.03.01	111.378	112.132	109.704	110.810	1322527	0	1
2019.04.01	110.994	112.396	110.804	111.419	1041283	0	3
2019.05.01	111.428	111.691	108.274	108.276	1499099	0	2
2019.06.01	108.270	108.797	106.774	107.917	1378184	0	3
2019.07.01	107.914	108.999	107.209	108.750	997812	0	3
2019.08.01	108.769	109.317	104.449	106.253	2007037	0	2
2019.09.01	106.027	108.475	105.735	108.070	1338024	0	2
2019.10.01	108.070	109.285	106.480	108.019	1213340	0	2
2019.11.01	108.019	109.669	107.884	109.487	800424	0	2
2019.12.01	109.517	109.726	108.426	108.658	702030	0	2
2020.01.01	108.705	110.287	107.647	108.346	887299	0	2
2020.02.01	108.431	112.225	107.506	108.062	1333127	0	2
2020.03.01	107.513	111.711	101.177	107.485	4590436	0	0
2020.04.01	107.547	109.379	106.356	107.130	2383793	0	0
2020.05.01	107.118	108.085	105.985	107.785	938227	0	0
2020.06.01	107.674	109.848	106.071	107.923	1106720	0	0
2020.07.01	107.924	108.161	104.185	105.927	866830	0	0
2020.08.01	105.769	107.047	105.099	105.898	1009714	0	0
2020.09.01	105.900	106.550	103.999	105.445	894671	0	0
