<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.08.02	123.866	125.064	123.797	124.203	612950	833358347000	4
2015.08.09	124.145	125.276	123.788	124.313	490445	619677647000	4
2015.08.16	124.213	124.571	121.811	122.049	669613	876894292000	9
2015.08.23	121.863	122.021	116.131	121.712	1171855	1064112434000	3
2015.08.30	121.635	121.635	118.591	119.017	859024	979460451000	8
2015.09.06	118.892	121.326	118.795	120.568	859938	977439694000	9
2015.09.13	120.490	120.989	119.051	119.962	814192	1042578516000	9
2015.09.20	120.114	121.230	119.222	120.577	880330	1133030373000	9
2015.09.27	120.496	120.588	118.676	119.903	908274	1115292176000	4
2015.10.04	119.985	120.564	119.621	120.211	735980	1026729756000	8
2015.10.11	120.163	120.260	118.058	119.459	587465	812099606000	9
2015.10.18	119.377	121.481	119.135	121.439	661864	938468264000	0
2015.10.25	121.468	121.485	120.019	120.603	669295	893140312000	0
2015.11.01	120.385	123.264	120.252	123.218	614470	830311344000	0
2015.11.08	123.256	123.601	122.435	122.606	613869	835408540000	0
2015.11.15	122.238	123.751	122.221	122.783	619161	853827230000	0
2015.11.22	122.821	123.255	122.254	122.709	527294	731648545000	9
2015.11.29	122.810	123.667	122.294	123.099	619168	879767343000	0
2015.12.06	123.208	123.473	120.576	120.959	658730	811827495000	0
2015.12.13	121.102	123.559	120.339	121.126	777878	807608311000	0
2015.12.20	121.212	121.500	120.247	120.320	378260	392946890000	0
2015.12.27	120.103	120.650	119.999	120.207	278455	280263225000	0
2016.01.03	120.196	120.462	117.223	117.229	882709	838163988000	0
2016.01.10	117.097	118.376	116.505	116.997	926401	917310406000	4
2016.01.17	116.650	118.876	115.970	118.769	971804	993024040000	0
2016.01.24	118.637	121.686	117.651	121.119	937958	1046882869000	0
2016.01.31	121.314	121.482	116.290	116.819	992394	952432028000	9
2016.02.07	116.783	117.520	110.979	113.209	1241088	1094677470000	0
2016.02.14	113.357	114.871	112.301	112.531	911834	837013679000	0
2016.02.21	112.572	113.988	111.039	113.984	867727	979435408000	0
2016.02.28	113.947	114.550	112.153	113.769	856325	952393276000	0
2016.03.06	113.922	114.443	112.223	113.795	753481	813019022000	0
2016.03.13	113.912	114.143	110.664	111.520	683700	772366118000	0
2016.03.20	111.524	113.319	111.215	113.048	519885	543139952000	0
2016.03.27	113.156	113.799	111.583	111.610	628986	910578454000	0
2016.04.03	111.585	111.792	107.665	108.022	785377	1079564367000	0
2016.04.10	107.965	109.729	107.625	108.728	667860	957697312000	0
2016.04.17	108.199	111.802	107.832	111.748	677401	816850541000	0
2016.04.24	111.853	111.880	106.274	106.334	707739	799050459000	0
2016.05.01	106.223	107.495	105.545	107.074	687668	886567363000	0
2016.05.08	107.070	109.550	107.068	108.607	655392	901732168000	0
2016.05.15	108.605	110.584	108.460	110.102	624284	803373257000	0
2016.05.22	110.103	110.443	109.106	110.242	584570	751735142000	0
2016.05.29	110.419	111.445	106.505	106.532	715790	973727056000	0
2016.06.05	106.543	107.898	106.249	106.912	744408	1046404064000	0
2016.06.12	106.793	106.852	103.547	104.042	932793	1250525737000	0
2016.06.19	104.099	106.805	98.935	102.195	855192	1176419512000	0
2016.06.26	101.495	103.391	101.395	102.529	867487	1120616225000	0
2016.07.03	102.617	102.801	99.988	100.401	725036	982173607000	0
2016.07.10	100.602	106.311	100.511	104.808	915062	1310749883000	0
2016.07.17	105.336	107.488	105.268	106.025	755255	1200398399000	0
2016.07.24	106.106	106.719	101.968	102.040	807520	1033800909000	0
2016.07.31	102.212	102.828	100.675	101.800	655802	714953298000	0
2016.08.07	101.928	102.651	100.829	101.283	551884	664986674000	0
2016.08.14	101.113	101.450	99.536	100.217	635398	726258874000	0
2016.08.21	100.681	101.939	99.937	101.739	579454	662551051000	0
2016.08.28	102.070	104.316	101.744	103.746	627276	657189572000	0
2016.09.04	104.065	104.132	101.193	102.562	671217	674046288000	0
2016.09.11	102.550	103.353	101.417	102.232	704458	754389238000	0
2016.09.18	102.112	102.780	100.094	100.865	659401	654405807000	0
2016.09.25	100.924	101.835	100.081	101.322	694892	732006466000	0
2016.10.02	101.208	104.157	101.125	102.876	688391	647600761000	0
2016.10.09	103.230	104.630	102.805	104.046	657263	579236730000	0
2016.10.16	104.315	104.366	103.161	103.689	546655	483651614000	0
2016.10.23	103.816	105.528	103.717	104.725	604713	501098546000	0
2016.10.30	104.563	105.229	102.544	103.093	736688	628749455000	0
2016.11.06	103.963	106.942	101.186	106.620	1070430	926661166000	0
2016.11.13	106.842	110.948	106.728	110.867	975642	839857089000	0
2016.11.20	112.004	113.895	110.264	113.213	885654	671447725000	0
2016.11.27	112.796	114.821	111.353	113.439	931291	625351890000	0
2016.12.04	113.195	115.363	112.859	115.219	725692	427918450000	0
2016.12.11	115.375	118.659	114.731	117.776	848278	533749366000	0
2016.12.18	117.936	118.238	116.543	117.198	659771	509878255000	0
2016.12.25	117.034	117.809	116.037	116.814	556752	458988281000	0
2017.01.01	116.780	118.602	115.065	116.942	802989	615677389000	0
2017.01.08	116.993	117.528	113.750	114.338	979071	695087133000	0
2017.01.15	114.221	115.616	112.566	114.464	954231	761636516000	0
2017.01.22	114.313	115.372	112.519	115.028	951409	920213374000	0
2017.01.29	114.761	114.946	112.048	112.443	937044	951859267000	0
2017.02.05	112.384	113.854	111.588	113.065	798258	812412792000	0
2017.02.12	113.513	114.953	112.614	112.697	742395	758421734000	0
2017.02.19	112.886	113.773	111.931	112.006	662996	641793466000	0
2017.02.26	112.120	114.745	111.685	113.886	756682	702025373000	0
2017.03.05	113.879	115.500	113.555	114.717	713795	708181258000	0
2017.03.12	114.764	115.191	112.560	112.702	694801	681731715000	0
2017.03.19	112.639	112.894	110.623	111.217	791787	770008897000	0
2017.03.26	110.919	112.193	110.106	111.264	736316	716485243000	0
2017.04.02	111.355	111.584	110.126	110.971	762057	734189184000	0
2017.04.09	111.016	111.576	108.542	108.542	648303	634875501000	0
2017.04.16	108.738	109.484	108.129	108.979	630043	637562207000	0
2017.04.23	110.489	111.774	109.590	111.528	698236	686090504000	0
2017.04.30	111.207	113.044	111.202	112.598	551827	563379661000	0
2017.05.07	112.938	114.365	112.393	113.323	587044	604719375000	0
2017.05.14	113.161	113.852	110.231	111.228	740603	747316444000	0
2017.05.21	111.022	112.125	110.855	111.253	620921	635340647000	0
2017.05.28	111.210	111.706	110.326	110.351	547990	552453075000	0
2017.06.04	110.343	110.808	109.111	110.304	503874	0	9
2017.06.11	110.284	111.414	108.805	110.824	505378	0	9
2017.06.18	110.842	111.783	110.719	111.226	435640	0	9
2017.06.25	111.118	112.922	111.118	112.361	550974	0	9
2017.07.02	112.112	114.175	112.112	113.859	525219	0	9
2017.07.09	113.909	114.490	112.256	112.528	512016	0	9
2017.07.16	112.461	112.863	111.008	111.122	555242	0	9
2017.07.23	111.097	112.196	110.544	110.640	657237	0	9
