<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.08.03	1095.72	1097.68	1085.79	1086.66	78529	45055072	29
2015.08.04	1085.32	1094.78	1080.94	1087.61	85679	48701076	26
2015.08.05	1087.31	1092.48	1082.92	1084.77	85935	60934619	29
2015.08.06	1084.82	1094.00	1083.46	1089.33	79616	53788191	31
2015.08.07	1089.77	1099.43	1082.74	1094.17	96112	67301205	28
2015.08.10	1093.04	1108.84	1089.58	1104.43	84692	61704334	29
2015.08.11	1104.32	1119.32	1093.75	1108.75	112515	84907077	27
2015.08.12	1108.83	1125.75	1101.74	1123.91	120939	90243270	29
2015.08.13	1125.26	1126.71	1113.60	1115.09	87464	65117959	27
2015.08.14	1115.18	1121.01	1111.69	1114.82	80491	59144143	28
2015.08.17	1114.70	1122.74	1113.48	1117.34	76335	56100375	26
2015.08.18	1117.40	1121.12	1109.63	1117.49	82628	61918710	28
2015.08.19	1118.00	1134.56	1116.24	1134.19	98777	70452071	29
2015.08.20	1133.46	1153.95	1132.58	1152.08	110294	82724615	24
2015.08.21	1153.80	1168.16	1148.91	1160.54	121955	89312622	25
2015.08.24	1164.32	1170.01	1145.63	1154.97	176042	130590255	30
2015.08.25	1153.47	1156.53	1134.58	1140.50	133208	104643201	30
2015.08.26	1140.32	1146.36	1117.68	1124.77	131153	99620090	28
2015.08.27	1125.89	1129.19	1118.23	1124.56	127737	94949648	27
2015.08.28	1125.45	1140.76	1123.72	1134.02	121671	86745000	29
2015.08.31	1133.77	1136.56	1125.64	1134.71	91804	67118628	31
2015.09.01	1134.60	1147.85	1134.31	1139.97	104063	76825057	0
2015.09.02	1139.71	1142.36	1132.03	1133.78	95659	70089695	29
2015.09.03	1133.68	1134.24	1121.83	1125.11	80486	61078000	27
2015.09.04	1125.09	1132.86	1116.72	1122.33	82854	62245048	25
2015.09.07	1122.99	1124.73	1116.04	1118.94	54303	40137551	30
2015.09.08	1120.17	1126.67	1118.58	1121.27	81389	58235927	29
2015.09.09	1121.64	1125.32	1101.23	1107.35	92344	67955608	25
2015.09.10	1106.98	1114.97	1103.79	1110.37	93059	66183717	27
2015.09.11	1111.03	1112.83	1098.71	1107.68	74422	53321379	31
2015.09.14	1107.44	1110.40	1103.46	1108.77	63897	46203069	27
2015.09.15	1108.47	1109.31	1102.15	1105.24	53198	38101577	28
2015.09.16	1105.26	1124.11	1103.92	1119.15	91657	62929371	24
2015.09.17	1119.21	1135.13	1115.35	1132.34	95941	72508047	0
2015.09.18	1130.88	1141.68	1127.47	1139.04	108457	74690669	31
2015.09.21	1139.11	1139.81	1129.56	1133.30	63532	44456625	26
2015.09.22	1132.95	1136.51	1121.28	1124.30	81592	62304126	29
2015.09.23	1124.80	1134.14	1121.79	1129.98	70573	49927775	29
2015.09.24	1130.72	1156.65	1130.31	1153.98	116270	78652271	27
2015.09.25	1149.55	1151.14	1140.71	1145.56	107930	78518822	27
2015.09.28	1145.33	1148.14	1127.95	1132.17	105853	76224870	24
2015.09.29	1132.01	1134.63	1124.17	1127.11	93689	68693157	27
2015.09.30	1127.25	1128.08	1111.30	1114.47	103649	74273408	27
2015.10.01	1115.56	1119.13	1110.99	1113.52	79819	58539178	24
2015.10.02	1113.48	1141.21	1104.59	1138.72	111053	70255889	24
2015.10.05	1136.78	1141.92	1130.06	1135.43	97787	62520043	24
2015.10.06	1135.63	1151.18	1134.92	1146.97	81553	55582421	24
2015.10.07	1146.93	1153.57	1141.72	1145.32	82711	61774994	24
2015.10.08	1145.09	1151.21	1136.56	1139.07	86977	62214117	18
2015.10.09	1138.96	1159.61	1138.91	1156.53	94980	65951602	24
2015.10.12	1155.83	1168.90	1154.73	1163.78	66859	47470444	18
2015.10.13	1163.52	1168.60	1151.74	1168.09	97325	66659258	24
2015.10.14	1168.08	1189.70	1163.35	1184.58	103600	73996997	24
2015.10.15	1184.54	1191.44	1174.23	1182.70	97094	72225440	24
2015.10.16	1182.06	1184.34	1174.24	1177.14	93245	67559649	24
2015.10.19	1176.54	1178.13	1167.59	1170.20	81620	60303217	24
2015.10.20	1170.01	1180.67	1167.31	1176.35	83433	57887409	24
2015.10.21	1176.19	1179.13	1163.61	1166.95	93387	67475718	22
2015.10.22	1167.62	1171.72	1162.55	1165.43	102747	71654937	24
2015.10.23	1166.00	1179.29	1158.88	1164.37	112174	79554466	24
2015.10.26	1162.90	1169.59	1162.04	1163.00	82136	59497532	24
2015.10.27	1163.79	1168.63	1160.73	1166.50	81801	54191553	20
2015.10.28	1167.11	1182.86	1152.26	1155.77	112193	77327325	24
2015.10.29	1157.37	1162.59	1144.63	1145.78	118823	79957123	24
2015.10.30	1145.64	1149.97	1139.23	1141.74	113135	78140899	24
2015.11.02	1141.45	1142.94	1131.75	1133.46	92777	62439438	24
2015.11.03	1133.72	1138.25	1114.33	1117.61	101549	68652821	24
2015.11.04	1118.11	1122.76	1106.35	1107.51	110560	72283777	24
2015.11.05	1107.94	1111.45	1102.90	1103.57	93864	67461357	24
2015.11.06	1104.55	1110.38	1085.39	1088.62	88325	63255512	24
2015.11.09	1090.33	1095.59	1088.31	1091.95	90911	61816823	24
2015.11.10	1092.27	1094.79	1085.22	1089.60	78402	53572570	24
2015.11.11	1089.88	1093.58	1083.63	1085.84	81301	55593287	24
2015.11.12	1086.50	1089.52	1074.08	1084.90	100179	66398338	24
2015.11.13	1085.00	1088.54	1079.57	1083.54	112851	75949073	24
2015.11.16	1088.11	1098.01	1081.06	1082.68	110988	78436750	24
2015.11.17	1083.85	1085.01	1065.44	1070.06	107652	75365154	24
2015.11.18	1071.57	1075.39	1064.64	1070.87	113223	75616756	24
2015.11.19	1071.57	1087.38	1069.46	1082.04	113813	75828291	24
2015.11.20	1081.90	1088.01	1075.76	1077.98	109573	82581759	24
