<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.08.01	1125.45	1140.76	1123.72	1134.71	213475	153863628	29
2015.09.01	1134.60	1156.65	1098.71	1114.47	1914817	1383555769	0
2015.10.01	1115.56	1191.44	1104.59	1141.74	2074452	1450740211	18
2015.11.01	1141.45	1142.94	1052.67	1064.37	2018348	1373349853	24
2015.12.01	1064.81	1088.78	1046.23	1060.91	2276770	1485855442	0
2016.01.01	1064.88	1127.94	1061.66	1117.99	2991430	1865738988	0
2016.02.01	1115.86	1263.34	1115.86	1238.30	3295968	2157706467	24
2016.03.01	1239.05	1283.36	1208.15	1232.44	2329739	1641985243	18
2016.04.01	1231.56	1296.62	1208.93	1293.68	1746720	1302437652	14
2016.05.01	1292.65	1303.65	1199.62	1215.08	1995239	1561506872	17
2016.06.01	1216.02	1358.25	1205.91	1321.58	2356659	1608465638	21
2016.07.01	1322.58	1375.05	1310.77	1351.11	3166678	2043738959	24
2016.08.01	1350.61	1367.21	1304.16	1308.81	2591635	2083828122	0
2016.09.01	1309.79	1352.51	1302.41	1315.89	2290669	1750252080	0
2016.10.01	1317.19	1319.52	1241.30	1276.87	2132050	1437613765	0
2016.11.01	1276.63	1337.16	1170.11	1172.62	3212538	1737840020	24
2016.12.01	1173.73	1187.93	1122.62	1152.12	2214723	1245146440	0
2017.01.01	1151.67	1219.40	1145.95	1210.36	2743700	2109310311	15
2017.02.01	1210.48	1263.79	1198.10	1248.00	2321232	1934734466	20
2017.03.01	1248.50	1260.97	1194.91	1248.96	1877179	1172673400	24
2017.04.01	1247.94	1295.45	1243.65	1267.99	1535850	857558003	6
2017.05.01	1268.56	1274.08	1214.23	1268.70	1594982	947572415	24
2017.06.01	1268.67	1296.01	1236.01	1241.43	1503328	864863961	24
2017.07.01	1242.12	1271.04	1204.81	1269.37	1426788	762851686	24
2017.08.01	1269.47	1325.94	1251.44	1321.41	1791775	857161318	24
2017.09.01	1321.85	1357.42	1275.92	1279.37	1764528	815063433	0
2017.10.01	1278.95	1305.91	1260.54	1271.00	2711675	5375048830	24
2017.11.01	1270.32	1299.08	1265.37	1274.70	3581832	11471602008	27
2017.12.01	1275.02	1307.41	1236.37	1302.54	2770709	1073842694	28
2018.01.01	1309.81	1365.92	1305.70	1344.94	3735279	1477846500	0
2018.02.01	1343.39	1361.69	1307.04	1318.08	3816857	727714025	0
2018.03.01	1319.02	1356.84	1302.76	1325.04	3293126	0	14
2018.04.01	1325.80	1365.20	1310.18	1314.98	3197580	0	14
2018.05.01	1316.11	1325.90	1282.00	1298.24	3318580	0	10
2018.06.01	1298.89	1309.28	1245.84	1252.74	2231535	0	10
2018.07.01	1252.73	1265.84	1211.45	1223.94	2128799	0	10
2018.08.01	1224.13	1224.76	1160.07	1200.78	1732872	0	11
2018.09.01	1200.68	1212.60	1180.66	1191.51	1383329	0	13
2018.10.01	1191.89	1243.36	1183.16	1214.48	1418356	0	12
2018.11.01	1215.30	1237.33	1196.21	1221.96	1271883	0	10
2018.12.01	1222.91	1284.02	1221.25	1280.23	1119652	0	12
2019.01.01	1282.21	1326.25	1276.54	1321.05	883441	0	12
2019.02.01	1320.95	1346.66	1302.34	1313.08	726354	0	0
2019.03.01	1314.15	1324.49	1280.77	1292.16	787302	0	8
2019.04.01	1292.15	1310.53	1266.21	1283.29	666652	0	9
2019.05.01	1283.13	1306.92	1266.20	1305.13	875962	0	8
2019.06.01	1306.59	1439.21	1306.49	1409.91	1412928	0	9
2019.07.01	1391.67	1452.92	1381.66	1412.23	1461899	0	15
2019.08.01	1415.85	1555.21	1400.44	1520.55	2145213	0	14
2019.09.01	1529.39	1556.98	1464.43	1472.29	1695526	0	14
2019.10.01	1472.93	1519.48	1459.03	1512.13	1931435	0	14
2019.11.01	1512.49	1516.09	1445.57	1463.83	1475227	0	14
2019.12.01	1462.43	1525.23	1453.89	1520.21	1238679	0	10
2020.01.01	1520.26	1611.35	1518.38	1588.83	1852130	0	7
2020.02.01	1588.65	1689.25	1547.38	1584.70	2034241	0	7
2020.03.01	1581.79	1703.44	1451.13	1576.78	2872469	0	0
2020.04.01	1571.41	1747.40	1569.33	1685.98	2334978	0	0
2020.05.01	1686.02	1765.08	1670.40	1730.41	2327555	0	0
2020.06.01	1735.40	1785.94	1670.55	1780.54	1973959	0	5
2020.07.01	1781.61	1983.97	1757.43	1975.02	2029914	0	5
2020.08.01	1983.53	2074.87	1862.58	1968.22	3067529	0	5
2020.09.01	1968.35	1992.29	1848.75	1885.23	2676723	0	5
2020.10.01	1887.32	1933.18	1859.92	1878.37	2045237	0	5
2020.11.01	1879.27	1965.46	1764.38	1777.64	2182544	0	5
2020.12.01	1776.97	1906.70	1775.74	1893.68	1855236	0	5
2021.01.01	1909.07	1959.29	1810.29	1847.59	2484243	0	5
2021.02.01	1855.57	1871.78	1717.18	1733.84	3066643	0	5
2021.03.01	1737.79	1759.89	1676.82	1707.70	3419255	0	5
2021.04.01	1707.40	1797.88	1705.76	1768.97	2198452	0	0
2021.05.01	1766.81	1912.74	1766.04	1906.62	2470134	0	0
2021.06.01	1907.26	1916.58	1750.69	1769.65	2518746	0	0
2021.07.01	1770.03	1834.07	1765.64	1814.28	1874460	0	0
2021.08.01	1814.60	1831.65	1683.20	1814.26	1768243	0	5
2021.09.01	1814.47	1833.95	1721.65	1757.16	1693694	0	5
2021.10.01	1755.82	1813.79	1745.95	1782.98	1982772	0	5
2021.11.01	1783.36	1877.23	1758.07	1774.43	1999564	0	5
2021.12.01	1775.91	1828.57	1752.34	1828.27	1868880	0	5
2022.01.01	1830.63	1853.90	1780.30	1796.88	2198760	0	5
2022.02.01	1797.51	1974.52	1788.66	1908.26	2363392	0	5
2022.03.01	1908.30	2070.30	1890.02	1936.88	2670176	0	5
2022.04.01	1937.15	1998.43	1872.04	1896.42	2327027	0	0
2022.05.01	1899.29	1909.77	1786.84	1838.26	2342503	0	0
2022.06.01	1836.74	1878.78	1802.75	1807.16	2067854	0	0
2022.07.01	1806.65	1814.26	1680.84	1766.00	2240401	0	0
2022.08.01	1764.75	1807.87	1709.57	1710.99	2403241	0	0
2022.09.01	1711.05	1735.13	1614.81	1660.79	2857629	0	0
2022.10.01	1663.22	1729.49	1617.29	1633.56	2980408	0	0
2022.11.01	1632.86	1786.57	1616.72	1768.39	3166838	0	0
2022.12.01	1769.08	1833.63	1765.85	1823.55	2931091	0	0
2023.01.01	1826.57	1949.09	1823.52	1928.10	3020213	0	0
2023.02.01	1928.01	1959.68	1804.69	1826.50	2704581	0	0
2023.03.01	1826.61	2009.80	1809.41	1969.41	3533178	0	0
2023.04.01	1967.06	2048.67	1949.76	1989.55	2821443	0	0
2023.05.01	1989.54	2066.81	1932.05	1962.60	3156798	0	0
2023.06.01	1963.16	1983.48	1892.95	1919.17	2711053	0	0
2023.07.01	1918.60	1987.43	1902.59	1965.52	2959506	0	0
2023.08.01	1965.68	1965.98	1884.81	1940.06	2770295	0	0
2023.09.01	1940.01	1953.02	1846.33	1848.74	2372155	0	0
2023.10.01	1846.45	2009.47	1810.47	1983.97	3977971	0	2
2023.11.01	1983.46	2051.99	1931.60	2036.09	2874227	0	0
2023.12.01	2036.83	2144.77	1973.00	2063.03	3734635	0	0
2024.01.01	2062.91	2078.99	2001.68	2039.20	9462063	0	0
2024.02.01	2038.97	2065.54	1984.03	2044.12	3923933	0	3
2024.03.01	2043.77	2236.18	2038.92	2232.88	2036876	0	0
2024.04.01	2241.94	2431.44	2228.51	2286.30	2103747	0	0
2024.05.01	2286.76	2450.07	2277.38	2327.46	1802321	0	1
2024.06.01	2328.79	2387.69	2286.71	2326.40	1600425	0	5
2024.07.01	2326.90	2483.54	2318.50	2447.24	2935642	0	5
2024.08.01	2448.53	2531.53	2364.06	2503.35	4241070	0	5
2024.09.01	2502.34	2685.44	2471.77	2634.53	3855232	0	5
2024.10.01	2634.35	2790.09	2604.77	2743.77	2334414	0	3
2024.11.01	2743.91	2762.26	2536.77	2650.33	2038941	0	5
2024.12.01	2652.01	2726.15	2582.92	2624.43	1773989	0	0
2025.01.01	2624.48	2817.23	2614.45	2798.47	1841967	0	5
2025.02.01	2804.21	2956.18	2772.17	2859.06	1793309	0	5
2025.03.01	2857.88	3127.94	2857.88	3123.96	1668364	0	0
2025.04.01	3123.22	3499.98	2956.26	3288.27	2054453	0	0
2025.05.01	3288.70	3437.85	3120.78	3288.72	2057339	0	5
2025.06.01	3298.35	3451.23	3248.48	3302.92	1801816	0	4
2025.07.01	3303.40	3438.77	3268.17	3290.68	1720413	0	5
2025.08.01	3291.51	3453.88	3281.59	3448.16	1604916	0	0
2025.09.01	3445.94	3871.66	3437.12	3858.23	2096123	0	5
2025.10.01	3858.58	4381.53	3819.28	4002.14	2579480	0	5
2025.11.01	3989.66	4245.39	3928.90	4219.09	2145582	0	5
2025.12.01	4222.86	4549.92	4163.43	4318.82	8261330	0	0
2026.01.01	4318.72	4402.31	4309.97	4332.35	477382	0	4
