<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.08.02	1095.72	1099.43	1080.94	1094.17	425871	275780163	26
2015.08.09	1093.04	1126.71	1089.58	1114.82	486101	361116783	27
2015.08.16	1114.70	1168.16	1109.63	1160.54	489989	360508393	24
2015.08.23	1164.32	1170.01	1117.68	1134.02	689811	516548194	27
2015.08.30	1133.77	1147.85	1116.72	1122.33	454866	337356428	0
2015.09.06	1122.99	1126.67	1098.71	1107.68	395517	285834182	25
2015.09.13	1107.44	1141.68	1102.15	1139.04	413150	294432733	0
2015.09.20	1139.11	1156.65	1121.28	1145.56	439897	313859619	26
2015.09.27	1145.33	1148.14	1104.59	1138.72	494063	347986502	24
2015.10.04	1136.78	1159.61	1130.06	1156.53	444008	308043177	18
2015.10.11	1155.83	1191.44	1151.74	1177.14	458123	327911788	18
2015.10.18	1176.54	1180.67	1158.88	1164.37	473361	336875747	22
2015.10.25	1162.90	1182.86	1139.23	1141.74	508088	349114432	20
2015.11.01	1141.45	1142.94	1085.39	1088.62	487075	334092905	24
2015.11.08	1090.33	1095.59	1074.08	1083.54	463644	313330091	24
2015.11.15	1088.11	1098.01	1064.64	1077.98	555249	387828710	24
2015.11.22	1076.15	1081.01	1052.67	1058.04	425249	284971447	24
2015.11.29	1058.29	1088.78	1046.23	1086.76	551604	355276188	24
2015.12.06	1084.82	1086.55	1062.36	1074.66	628476	419517558	24
2015.12.13	1073.72	1078.27	1047.58	1065.85	553006	358253783	24
2015.12.20	1066.16	1081.71	1063.91	1076.05	320910	205298382	24
2015.12.27	1075.86	1076.86	1058.13	1060.91	309905	200636231	0
2016.01.03	1064.88	1113.12	1061.66	1103.85	760077	472350518	24
2016.01.10	1107.40	1108.42	1071.33	1088.72	744431	486011378	24
2016.01.17	1090.14	1109.56	1082.45	1097.78	810999	504520818	0
2016.01.24	1097.73	1127.94	1097.13	1117.99	675923	402856274	0
2016.01.31	1115.86	1174.40	1115.86	1173.06	839252	541639410	24
2016.02.07	1168.46	1263.34	1164.23	1238.13	918043	586243706	24
2016.02.14	1232.00	1239.84	1190.80	1227.29	749921	491498848	24
2016.02.21	1224.92	1253.24	1201.83	1223.32	652084	447748845	24
2016.02.28	1218.98	1279.71	1217.23	1258.78	704256	493249143	18
2016.03.06	1259.79	1283.36	1236.99	1249.23	608366	423122051	22
